,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-1.8123146051161928e-08 1.8836681146672053e-06 -7.567394271345498e-05 0.0014732446359617382 -0.014203187233993046 0.061008675381106985 -0.08259905779487872,
1,1547700355_A01172,6.00725434816382e-09 -4.5850876163172157e-07 1.1636690244831303e-05 -9.131779844625375e-05 -0.0004610469004548176 0.007905621454446338 -0.01868601972731043,
2,1547782407_A01172,-9.613579246577976e-08 8.018136926690352e-06 -0.0002566088484823058 0.003942533068834612 -0.029627331445970125 0.09755126774504183 -0.09894988974328524,
3,1547880148_A01172,-1.0335602703009309e-07 7.346074828399499e-06 -0.00019276348981827563 0.0022748158047083797 -0.011557953715206471 0.018262406946455246 0.003479707838614061,
4,1547954828_A01172,3.671012352338587e-08 -4.159487685800026e-06 0.00018222037606977417 -0.003866924459133907 0.0405697329142925 -0.18886488286072514 0.27432556602775354,
5,1548038666_A01172,,3.0461180600002695e-09 -3.7109717204995376e-07 1.736616702786515e-05 -0.00038912183735524415 0.004209093183571991 -0.019011301706629045 0.021096470392143307
6,1552402053_A01172,6.126265091025464e-10 -1.0889145908670231e-07 7.312126817396686e-06 -0.00023020230117796984 0.003408717626016084 -0.02054488204024896 0.03190602575412141,
7,1552590157_A01172,-2.9935741293289296e-07 1.4525317561021003e-05 -0.00024904560498547777 0.0017070815134315868 -0.0027309399119467056 -0.01215678256623049 0.026470240639699275,
8,1552620154_A01609,,8.00573809080474e-09 -1.1303374955290472e-06 6.0795182869936557e-05 -0.0015534564036979498 0.019110260102022568 -0.10037468871811953 0.15477465792640427
9,1553089387_A01609,,-5.569528923765797e-09 1.0721109960647543e-06 -7.940057322644348e-05 0.0028328233383266245 -0.04966331061175975 0.38382799642542864 -0.919679916554661
10,1553102751_A01609,,-8.485353707892001e-09 7.945677778712462e-07 -2.7305682563676638e-05 0.0004156984162776375 -0.0025887306400399065 0.0034961555217674473 0.007879755468419073
11,1553885926_A01172,,3.456316020556071e-07 -3.425055936486326e-05 0.0013129953079572285 -0.02440278509055457 0.22451787921928767 -0.9181687821886598 1.1714408438101176
12,1554082410_A01172,,-8.651567330634913e-09 9.975362087349038e-07 -4.346228956040817e-05 0.0008883305560970764 -0.008555051435616523 0.03374750722529004 -0.03544492946418265
13,1554403777_A01172,4.2112476652745326e-11 -1.2799152823744787e-08 1.504823700824677e-06 -8.574934095025788e-05 0.0024161430718423393 -0.03018406567055654 0.1173843304691037,
14,1554748372_A01609,,4.36302100954891e-08 -3.390544777636177e-06 0.00010135495236449057 -0.0014544028152932693 0.010130208848577444 -0.029930306315892125 0.023507094347639212
15,1554840090_A01172,-5.040309088110878e-09 7.471201193526803e-07 -4.188438908163217e-05 0.001102346657833248 -0.013671864015363773 0.06930360238943374 -0.09218155758386513,
16,1554906953_A01172,-3.223825652175966e-08 3.1153968151592873e-06 -0.00011642825169712158 0.00210916370362469 -0.0189168107471191 0.07549261109814089 -0.09454436998790518,
17,1555002731_A01172,-2.5139403989052657e-07 1.3520037739644749e-05 -0.00027938886410316775 0.002779559097739713 -0.013598533297422194 0.029461903820057908 -0.020226267605062725,
18,1555696275_A01609,,-1.0761194937893563e-08 1.4476599608176584e-06 -7.527807944296892e-05 0.0018985394292548332 -0.023774281492422004 0.13360422045628068 -0.2414405058656507
19,1555736782_A01609,,2.013879701605998e-10 1.0049637631306832e-09 -1.3153668378401627e-06 6.091174392532509e-05 -0.001068887945937244 0.007562350769270289 -0.016437704779725174
20,1555987268_A01609,,1.1660682803353636e-08 -1.2214858627161033e-06 4.780394795714193e-05 -0.0008608122921408702 0.007035743971167884 -0.021532609901780037 0.012116206011951123
21,1556028453_A01609,,-9.426267788599183e-08 8.86846401131744e-06 -0.000319818265562075 0.005528185833259581 -0.046619655104156894 0.17139663407889985 -0.1913598013698503
22,1556039041_A01609,,-6.662408041150368e-08 8.189341409848047e-06 -0.00038922978239073575 0.008966701890137367 -0.10227210411806766 0.519140468186583 -0.8272262879522506
23,1556115527_A01172,-9.570395231870653e-09 1.1072116353027693e-06 -4.954501256928391e-05 0.001074962627333104 -0.01155387341953321 0.05532961463101751 -0.08342512708167289,
24,1556125697_A01609,,-5.079367740799915e-09 6.16165762303745e-07 -2.8909114861608208e-05 0.0006567479284903594 -0.007365983019385673 0.03655731971863022 -0.05628714828609178
25,1556219881_A01609,,-5.384685571469261e-07 4.221737732344653e-05 -0.0012721931341753171 0.0184442737032523 -0.13114545105816033 0.4097006630407225 -0.3942345420221742
26,1556301731_A01609,,1.4932198453032393e-08 -1.5157757757425657e-06 5.8251441783662294e-05 -0.0010534300119216199 0.009025755752166353 -0.032004835543993713 0.03077936103002511
27,1556909851_A01172,-7.782413979387103e-08 7.5989300113239815e-06 -0.0002380365573733338 0.0033166964901106028 -0.02188644645031421 0.0631996145505273 -0.05814188374258203,
28,1557323445_A01609,,-4.343989457340445e-07 2.031798869544887e-05 -0.00029097217271778546 0.0005956862571312068 0.015920890207744613 -0.09954759470462832 0.13383315558724798
29,1557417534_A01172,,-1.7438258952022788e-06 0.00014505248093505278 -0.00466637161871558 0.07277253475556011 -0.5619387727700623 1.9310325628194276 -2.0807582576321573
30,1557757425_A01609,,2.921779044459484e-09 -4.5883695222102653e-07 2.786721234175968e-05 -0.0008203290700625401 0.011951041180458241 -0.07739099061363737 0.15668812645936686
31,1557760240_A01609,,-8.314090028523975e-09 1.1121151404706208e-06 -5.702825347095999e-05 0.0014024824307013242 -0.01685816216357352 0.08885180526663887 -0.14526136670781994
32,1557763139_A01609,,-4.92217140967137e-07 5.018435360530444e-05 -0.001978153899816774 0.03777893292416137 -0.35691426240380036 1.4976294716906302 -1.9609699144631914
33,1557928726_A01609,,-2.470185810621584e-09 4.6809072183171883e-07 -3.4302125926196545e-05 0.0012180317345533965 -0.02139228715273215 0.1667970421519855 -0.40595404264021023
34,1557952047_A01172,-7.399883529974462e-05 0.0031566472981697695 -0.05206507653455555 0.41593555222330547 -1.6418890726585262 2.8707160259001134 -1.5558982032619262,
35,1557957375_A01609,,-1.0730596981860228e-09 1.7392034190516382e-07 -1.0696520164361549e-05 0.0003142585289802995 -0.004517274749086179 0.0285946202915217 -0.05614797778331195
36,1559137815_A01609,,-2.495830103185542e-09 3.494434577071973e-07 -1.8902669098193517e-05 0.0004949914431979167 -0.00640450725728094 0.03673957728049068 -0.0655856945722805
37,1559309040_A01609,,-9.369321652057574e-09 9.885555458029567e-07 -3.950830337123362e-05 0.0007436489826191288 -0.006642389341231616 0.024665225093716 -0.025366608163240042
38,1559311950_A01609,,-6.813169987521745e-08 4.848041656125071e-06 -0.0001285807458892716 0.0015610301556712898 -0.008485822730407714 0.016439308248364284 -0.0036580158788638525
39,1560885907_A01609,4.091686128477829e-09 -4.3884396553367413e-07 1.8201657028568247e-05 -0.00036805521732847374 0.0037503207188080523 -0.017726814541597385 0.028631742174004587,
40,1561053811_A01609,1.2570715835714307e-07 -9.244317583906684e-06 0.0002542991117915426 -0.003223088636638752 0.0185483960916229 -0.039641463411852804 0.013883825049896378,
41,1561428256_A01609,,3.202799271000934e-09 -4.331958411730859e-07 2.268625598734636e-05 -0.000576059429175729 0.007231632123903383 -0.04019803714962645 0.0692159033617967
42,1561948526_A01609,-2.402030157277182e-10 5.2466479359606017e-08 -4.422718728902515e-06 0.00018016609251798565 -0.0036161260504157934 0.032027962182441 -0.0876898362782956,
43,1562035686_A01609,-8.747021015642416e-11 1.926495786396975e-08 -1.6405836496862825e-06 6.770762782162374e-05 -0.0013831284231615522 0.012567233736713075 -0.035784042686153324,
44,1562704125_A01609,,1.0231450682909043e-10 -1.6513330685146055e-09 -3.4916250922007036e-07 1.6470223358565276e-05 -0.0002796091372393617 0.0019550131994783373 -0.004244888545421505
