,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,0.0023458620652076 -0.017938844544340745 0.04078159116247984 0.03900368929672111,
1,1547700355_A01172,0.0008471518169164581 -0.008348217945416918 0.024736295003594918 0.046136061565304996,
2,1547782407_A01172,0.006721933299275865 -0.06308625906074755 0.16497260112311352 0.16914238038903825,
3,1547880148_A01172,-0.0010904720919974146 0.004163474239797349 0.0010916608500909008 0.08024453287253505,
4,1547954828_A01172,0.0013258716618861782 -0.012888299098824309 0.04584341916064404 0.07113863349860201,
5,1548038666_A01172,,0.0007616812400862788 -0.007730499781361594 0.026372540978609943 0.07285271295412014
6,1552402053_A01172,-0.008595578247266903 0.07645155907435537 -0.1704851192211683 0.14849799333542463,
7,1552590157_A01172,0.010496006195479659 -0.04743258584526869 -0.08384939409768853 0.5463779613447637,
8,1552620154_A01609,,0.00021575453232964035 -0.0012039359813307753 0.003923068277911974 0.11636129112107498
9,1553089387_A01609,,0.0006468327562755391 -0.003588022709755073 0.009834924432811002 0.0354843956981871
10,1553102751_A01609,,-3.169373597676775e-05 -0.0004357478001487449 0.0050322469365263675 0.05839824893129468
11,1553885926_A01172,,-0.00139472486902714 0.009637119248915627 -0.015173768287011067 0.0515512981957684
12,1554082410_A01172,,-0.0003122597137618335 0.0024139855933934334 -0.004356362031289996 0.12176512166616764
13,1554403777_A01172,0.0007325550821549621 -0.006243014258515714 0.013973366747168287 0.07746560218529419,
14,1554748372_A01609,,-0.0006819658051951543 0.006831095148774675 -0.02384782160027971 0.20210289575383494
15,1554840090_A01172,0.001364794918268781 -0.010780420144090464 0.02491171091426979 0.033735439605701176,
16,1554906953_A01172,0.07029379902979363 -0.5653474919853646 1.1359180521481476 0.00573214290106882,
17,1555002731_A01172,-0.0012552886143529828 0.012118993793010912 -0.03428214412295738 0.19996314676997853,
18,1555696275_A01609,,0.0025192256492332955 -0.023947894662993987 0.06264956087374955 0.005636406726800591
19,1555736782_A01609,,0.0035761652770309265 -0.029026493813349524 0.0678467282022734 0.05566806145127993
20,1555987268_A01609,,-0.00019111959919729618 0.0010839982314171542 0.002885233898093763 0.038344820314618534
21,1556028453_A01609,,0.0031796234963561627 -0.022565024756007718 0.06155328473442882 0.08057827625988546
22,1556039041_A01609,,0.0019202527235782781 -0.013999153092042542 0.03384826116026553 0.15674807269389476
23,1556115527_A01172,4.1426030316548255e-06 -0.0015516803784338584 0.022278198115115142 0.12217269542371731,
24,1556125697_A01609,,0.0037161499418916586 -0.03016553229902901 0.07135744797023992 0.08874911251816966
25,1556219881_A01609,,-0.0005380368145686371 0.0026418368300285557 0.00023318860187534633 0.0628321778696182
26,1556301731_A01609,,0.0005516887352902077 -0.004054379483657814 0.018042602048654696 0.07844071421455634
27,1556909851_A01172,0.0038193219523380492 -0.027590080845368382 0.04905643226499906 0.03309592293197514,
28,1557323445_A01609,,0.0001536992466274324 -0.0018104676827133922 0.010717768259502278 0.06517632043432772
29,1557417534_A01172,,0.00020093148948946234 -0.0007222858568930207 -0.00019109235041007557 0.027613621985270967
30,1557757425_A01609,,-0.0005176928799901579 0.0033044730541174744 0.001248534903578917 0.06659924282064597
31,1557760240_A01609,,-0.005532545396117265 0.03656680533002729 -0.061339909503403324 0.0785556887738069
32,1557763139_A01609,,0.0018941510596181255 -0.00573889495356348 -0.025941075656080184 0.11794172658482603
33,1557928726_A01609,,-0.00024644993109440257 0.0008888424871504808 0.00397357317536091 0.07416887180545673
34,1557952047_A01172,0.0003006411424591735 -0.0035625517244820206 0.017617561093570957 0.05071534294393731,
35,1557957375_A01609,,-0.00022426528939245542 -0.0011621908089409834 0.015064409600022215 0.09149301254127098
36,1559137815_A01609,,0.0037896956694100314 -0.00891797599513853 0.19315542124711316 1.6603532482701078
37,1559309040_A01609,,-0.000610704571778033 0.03866572984933616 -0.2575174234854063 0.6302135112473048
38,1559311950_A01609,,0.00033691700752894627 -0.0033943193756293946 0.0164662673618033 0.06167296468485064
39,1560885907_A01609,0.00046189647833723223 -0.001198233900794509 0.0012180291085197009 0.10242348982698717,
40,1561053811_A01609,-0.00010013760051196313 -0.0010172082070437059 0.014651975551962303 0.07109133272028575,
41,1561428256_A01609,,0.0002604174384221301 -0.0026906844506910076 0.011393130438441519 0.09323953226977964
42,1561948526_A01609,-0.0001512222344782959 0.00022793098557329476 0.013407339136176907 0.1081804193594026,
43,1562035686_A01609,-0.0002467986123917282 0.00235376169782337 0.002961494881696228 0.05504452288846959,
44,1562704125_A01609,,0.02302649310810831 -0.2255897804186469 0.693826715976844 0.5816866997924113
