,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-0.004056759935937023 0.3933313570690305 -14.00420588911576 217.7636210643567 -1175.6984211922334,
1,1547700355_A01172,0.03304083012021119 -3.4452263388998903 133.77107023476228 -2290.9430080177326 14669.738460003866,
2,1547782407_A01172,-0.07540940886280373 7.337419615029858 -266.22678744825924 4268.028179974676 -25416.05613580549,
3,1547880148_A01172,-0.5816832947518583 54.34101121949185 -1896.7229977430488 29325.496774776064 -169425.0225047658,
4,1547954828_A01172,-0.004403430364152297 0.5222269653091549 -23.08843535734858 449.26073048723987 -3134.102158179478,
5,1548038666_A01172,,-0.004485337856679848 0.5599126773868165 -25.85610750309497 522.4995329942508 -3801.4521326701397
6,1552402053_A01172,0.00018008439367746645 -0.030211292034789044 1.792190586976714 -44.05960434124487 464.4060984830884,
7,1552590157_A01172,,
8,1552620154_A01609,,0.000501077003773263 -0.06832106096146552 3.3734336484836107 -71.09092605680104 608.3918904779283
9,1553089387_A01609,,-7.794589870786397e-05 0.01287451020154539 -0.7550698496027498 18.621268955767043 -87.76827772394958
10,1553102751_A01609,,0.0027907544739948185 -0.3277162507737461 14.15583716612606 -266.38120291446273 1918.9282008932023
11,1553885926_A01172,,-0.0005610297817966352 0.05175719486645327 -1.6603552297373811 22.152357543367017 -22.753212813028696
12,1554082410_A01172,,-0.0002633362779022972 0.028082024155146965 -1.0977217210047499 18.71066499580633 -44.13975088649518
13,1554403777_A01172,1.2169178523411616e-05 -0.002294673459789725 0.1384031066614201 -2.9155673615876836 98.62658336294633,
14,1554748372_A01609,,3.46271574140368 -312.21622966482437 10536.50542006836 -157726.41054512953 883721.2305071757
15,1554840090_A01172,0.0011952958138503568 -0.1783566490812289 9.734479845356821 -229.74115859499747 2055.198344614361,
16,1554906953_A01172,-0.16470417992436295 15.652875106793829 -553.3352946997759 8623.582466410384 -49909.64936178915,
17,1555002731_A01172,,
18,1555696275_A01609,,-0.008725171805419304 1.0634192560535645 -47.956106174279135 947.596632101393 -6814.489435631188
19,1555736782_A01609,,0.0022358992676666137 -0.2682655696345993 11.829368191768737 -226.8963200940529 1685.0058908698522
20,1555987268_A01609,,-0.007882011084081198 0.9001368135530222 -37.954099530272096 700.4571480501202 -4693.279038972227
21,1556028453_A01609,,0.014163665994433033 -1.481672611647335 57.639072182227885 -988.2160591562764 6376.932782418749
22,1556039041_A01609,,0.006780146530528701 -0.7578609949181367 31.071053849088862 -551.638997113683 3648.295438595375
23,1556115527_A01172,-0.001061866684650935 0.11011929916995102 -4.232234949919413 71.35440930051104 -354.7899603623513,
24,1556125697_A01609,,0.005186448874108634 -0.6350651662631431 28.68077107152297 -566.4251730258416 4209.079092965599
25,1556219881_A01609,,0.06770796735524877 -7.442845464131031 297.06553410504006 -5136.619471546422 32676.785201477946
26,1556301731_A01609,,0.018003697013698663 -1.9661122897775927 79.66480261200759 -1417.7937871211982 9408.769450368334
27,1556909851_A01172,,
28,1557323445_A01609,,-22.66655159464444 1861.9253994565072 -57350.44489319002 785046.6236424035 -4029417.9804106546
29,1557417534_A01172,,-0.8727173466438283 78.77147742256564 -2659.003568870078 39784.43830747927 -222557.13376085914
30,1557757425_A01609,,-8.83509016225869e-05 0.011194022845194385 -0.5557505007916224 12.372010099904063 28.465138029058767
31,1557760240_A01609,,-0.0005473556069726928 0.08809868908913168 -5.080700446377398 124.57329976252862 -1012.674089886394
32,1557763139_A01609,,-0.05735955647687077 5.848085555070251 -221.59304896397595 3700.9555380004163 -22909.60675299273
33,1557928726_A01609,,1.0543802043536761e-05 -0.0008898164498748026 0.007508324501379148 0.7548493990214677 55.41053868115596
34,1557952047_A01172,,
35,1557957375_A01609,,4.263386961920837e-05 -0.009774589118753275 0.6780657831701088 -18.638146420623695 265.4701132089372
36,1559137815_A01609,,-0.000850903275069822 0.10832396172933648 -5.10933600286438 106.29897792216576 -739.8612559049856
37,1559309040_A01609,,-0.0008920420859897555 0.08758588668709531 -2.948016000672119 37.02669298268473 -19.399063338343495
38,1559311950_A01609,,0.3529828364218626 -32.26013460032858 1103.3798251977557 -16738.533051862898 95087.1173175533
39,1560885907_A01609,0.008123794224524472 -0.8962125871205958 36.06516705334688 -624.4563692509279 3997.543470326311,
40,1561053811_A01609,0.014832368245312599 -1.3867430516842345 48.296290828187985 -742.2473448625464 4346.502132268607,
41,1561428256_A01609,,-5.957548733801629e-05 0.006549924840632144 -0.2702086818278627 5.032665768471546 39.0378302553238
42,1561948526_A01609,1.7259441487677063e-05 -0.0037320358736765208 0.2794361405878781 -8.555056162298524 180.85076103684645,
43,1562035686_A01609,-7.916893172005918e-05 0.013965439902056722 -0.8783160521073584 23.139117661755115 -121.62526372886789,
44,1562704125_A01609,,-0.002907579686893311 0.2516556891487793 -7.44218930133747 84.19867362287995 -176.42595318720697
