,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-9.301060907503886e-05 0.009934590806449966 -0.3905511607085235 6.663516827290523 -7.054050684449394,
1,1547700355_A01172,2.0190580567099222e-05 -0.0031140516372688493 0.1535452660948828 -3.0505731683652715 57.14885765282564,
2,1547782407_A01172,0.0003408827068344909 -0.03330830525419668 1.222698507598567 -19.910249900269953 154.01912776389432,
3,1547880148_A01172,0.003805591832244081 -0.35628434762288574 12.477590425697167 -193.687326040929 1158.7754820795747,
4,1547954828_A01172,-6.159924264244233e-05 0.006440453574618513 -0.2501737377341947 4.289090876015848 8.593027614502253,
5,1548038666_A01172,,-4.45125574586819e-05 0.005102925702345724 -0.21518435627170263 3.9610339542315343 3.3701769579196883
6,1552402053_A01172,-7.235356794198958e-07 0.00010016205282601051 -0.004278678880404026 0.06751623047635841 34.22192212935987,
7,1552590157_A01172,,
8,1552620154_A01609,,5.497463599383558e-07 7.545289149346635e-05 -0.01058858834681586 0.3198877874596852 31.369066376986744
9,1553089387_A01609,,3.1553577436458953e-06 -0.0005118305743758024 0.029438031392993703 -0.7069198754179357 39.26883304812688
10,1553102751_A01609,,-9.040754308407493e-05 0.010110568472200876 -0.42129025965062805 7.774292240273652 -20.245385024053043
11,1553885926_A01172,,-0.0013126479746157383 0.1338052111322708 -5.0807451441464675 85.12695329239558 -497.1239369438816
12,1554082410_A01172,,8.93286100252612e-06 -0.001257610968547328 0.06037376746805659 -1.1753889192622637 43.248490665520386
13,1554403777_A01172,7.840468670107514e-07 -0.0001340076599840425 0.007320901797821512 -0.15104839450112378 36.0391419573364,
14,1554748372_A01609,,0.0024695181108739597 -0.23062508327552447 8.041449320780684 -124.00597240338175 747.7084428640749
15,1554840090_A01172,6.781848189657953e-08 3.806117815839343e-05 -0.0037984312513546126 0.0962243627578823 34.740251597410776,
16,1554906953_A01172,-0.0020306403287982918 0.19562265469617388 -7.048747791926003 112.60374844308328 -639.5321594444496,
17,1555002731_A01172,,
18,1555696275_A01609,,3.0305278926560026e-05 -0.004122432686854378 0.19603898826041377 -3.809132604990914 60.21762915804762
19,1555736782_A01609,,2.6669804035124983e-06 -9.932129014452313e-05 -0.006104968412223507 0.35475542884147987 30.821935457704555
20,1555987268_A01609,,2.9673230597450184e-05 -0.0030353093730895856 0.11031607881559059 -1.6785941366310282 39.51998317750624
21,1556028453_A01609,,1.3415579508099686e-07 -0.0002265602581922183 0.017282644908689297 -0.4317659729515394 38.68250301317019
22,1556039041_A01609,,-4.951046505697074e-07 0.00016631407737562545 -0.019811903896677252 0.730232822507858 27.23296796896884
23,1556115527_A01172,-3.8896527035486184e-05 0.004062878732758379 -0.15305635552252067 2.44939951283402 21.386727592453894,
24,1556125697_A01609,,-9.155827006711144e-05 0.009600223628319374 -0.36621805824287146 5.955736746652044 -0.849061228614872
25,1556219881_A01609,,-0.00023282125793816207 0.026755457195964942 -1.1211137097674964 20.390238543038237 -100.66016045583913
26,1556301731_A01609,,-6.345616681024624e-06 0.0006584138831829544 -0.025625607091124557 0.44736990757658807 30.683972447450817
27,1556909851_A01172,,
28,1557323445_A01609,,-1.2107720126568313 99.91891103804909 -3091.8273728953286 42515.78726355811 -219176.98202047098
29,1557417534_A01172,,-0.0031540008401921378 0.2746454071285358 -8.964261052307828 129.97991494235416 -674.2213608959365
30,1557757425_A01609,,-1.7458624892747354e-05 0.0023909859682563987 -0.1210353785858227 2.684005242969837 12.659686652456301
31,1557760240_A01609,,8.637050944632142e-05 -0.010721562545724228 0.4866435584004941 -9.604722021224593 103.03644011810998
32,1557763139_A01609,,0.0009676283203906208 -0.10477688394723855 4.222348284603654 -74.99011275588077 525.5540222603948
33,1557928726_A01609,,1.323591915592286e-06 -0.0002964915561129708 0.023592769483391746 -0.7775032964557551 42.832492132681196
34,1557952047_A01172,,
35,1557957375_A01609,,-3.821089944772475e-05 0.004873769895143309 -0.22978863301713331 4.741980296239608 -0.8399345496746117
36,1559137815_A01609,,1.1546048331292415e-05 -0.001433682667692387 0.06495618249846978 -1.2593118943621264 43.83815312608851
37,1559309040_A01609,,6.303663478356427e-06 -0.0005352623715809069 0.015607110434871814 -0.18152276038503376 32.345358318037334
38,1559311950_A01609,,0.00018316038098163315 -0.01902161797097957 0.723545198055949 -11.984024894102932 107.65683739924026
39,1560885907_A01609,0.00027253815802925365 -0.03064110913791325 1.276860320823998 -23.341861038338713 190.5217265266407,
40,1561053811_A01609,-0.00024705228585582506 0.021183869308400927 -0.6670095359927039 9.119488225426897 -9.755028023936237,
41,1561428256_A01609,,-1.41439033126068e-06 0.00014378476475568807 -0.004526235812523384 0.05272580666565692 33.15896681640748
42,1561948526_A01609,-9.600537441995498e-07 0.00020954587367548949 -0.014709693051062228 0.41806766240551096 28.264597500161198,
43,1562035686_A01609,1.5600155876500544e-07 -4.964962192384203e-05 0.004275015643169587 -0.10611784081457754 33.79342525481203,
44,1562704125_A01609,,-5.3715836047989224e-05 0.005900753994661468 -0.23871521287589742 4.228995138299844 6.3401070742176175
