,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-0.00047223654626706436 0.04175235316621501 -1.349216206162004 18.97639576653735 -98.13425265109755,
1,1547700355_A01172,6.428982367146783e-05 -0.0066399895430272644 0.2543573101071494 -4.285238300155477 26.91232499624848,
2,1547782407_A01172,0.001900295768246021 -0.17724911988413786 6.150532342685262 -94.07138188490663 535.4637867529036,
3,1547880148_A01172,-7.429967263893193e-05 0.005607897702352889 -0.14554730526111415 1.4204408579690668 -3.056689379515051,
4,1547954828_A01172,-1.925943333739203e-06 0.00021064832243344186 -0.008614442060246858 0.1569485605521044 -0.9603583948313335,
5,1548038666_A01172,,-2.3795625518367374e-07 1.844571781160043e-05 -0.00031553049738442397 -0.003241979830592456 0.20922832159446167
6,1552402053_A01172,-6.426465652722777e-07 0.00010755154416263338 -0.006818426530946617 0.1930788664678802 -1.530514712723444,
7,1552590157_A01172,,
8,1552620154_A01609,,-5.540632159022853e-09 -3.334849932436561e-06 0.0003832631371086468 -0.006517880112435268 0.19084880994120412
9,1553089387_A01609,,-4.972979331210188e-07 7.938791133530265e-05 -0.004432394488236809 0.10188843182145994 -0.7166304195750417
10,1553102751_A01609,,-4.648546202674662e-07 5.651638773548627e-05 -0.0024750727111347154 0.046881928526413826 -0.25008512026181323
11,1553885926_A01172,,1.5009138746791537e-05 -0.0009300010894264202 0.013495669064969962 0.11867724084966871 -2.6524125657500996
12,1554082410_A01172,,-1.0769510325262923e-05 0.001311298720339164 -0.05829805970434573 1.1233659190335108 -7.782794480951975
13,1554403777_A01172,1.09365484405236e-06 -0.00021595618413407992 0.014562965987259934 -0.3775712700398617 3.2822572610121092,
14,1554748372_A01609,,-0.010672825575137655 0.8749419689644231 -26.44275511603427 347.9422315409965 -1670.758513688753
15,1554840090_A01172,-9.605989621039775e-07 0.00014033037486901065 -0.007353755511666628 0.16282014539045203 -1.2274120419784795,
16,1554906953_A01172,0.002175688089150857 -0.20705748939664823 7.35420393645999 -115.52443899051067 677.5460075827026,
17,1555002731_A01172,,
18,1555696275_A01609,,-4.614759454138148e-06 0.0005543957603138565 -0.024314175546198653 0.46464433294736635 -3.234466748619199
19,1555736782_A01609,,9.447525508653707e-06 -0.0010236017388117985 0.04089533572950913 -0.7138155399201211 4.768788352073554
20,1555987268_A01609,,6.755654128937298e-06 -0.0008276834321061206 0.037122287757374646 -0.7203750550857814 5.190580784375669
21,1556028453_A01609,,0.00022576870216808908 -0.023385192453512487 0.8963825166080838 -15.055965081620476 93.91311928181227
22,1556039041_A01609,,6.897866989468397e-06 -0.0008283099855076902 0.03663446134364985 -0.7033308640339336 5.043847604845017
23,1556115527_A01172,-2.4062540240059015e-06 0.00026913942435095905 -0.011227194635836595 0.20690536787369324 -1.1474276085583468,
24,1556125697_A01609,,-3.69909227327071e-06 0.0004422607146939909 -0.018901949396812077 0.3409248597513754 -2.027414161592141
25,1556219881_A01609,,-0.00011867012138853875 0.011105652725451231 -0.3880060870821148 6.0017478299009275 -34.61781213920216
26,1556301731_A01609,,3.276762703499297e-06 -0.000359881861837185 0.01466743015679549 -0.2624454707470693 1.8883305825713583
27,1556909851_A01172,,
28,1557323445_A01609,,-0.016602078069680073 1.4304984533239473 -46.14065897023993 660.3548537997867 -3538.3845576602075
29,1557417534_A01172,,0.0005101544209048574 -0.045839190750536975 1.540731851061909 -22.959789826587375 128.02718287490652
30,1557757425_A01609,,4.2846428986056626e-07 -6.184492774452464e-05 0.003337117122860168 -0.07816182757184134 0.7859668845532678
31,1557760240_A01609,,-2.6237762317584067e-06 0.0003226552682984378 -0.014530218825914537 0.28386542509568685 -1.979085249063125
32,1557763139_A01609,,-0.00016054795039105067 0.017319335905528047 -0.6949168836421117 12.282175990243864 -80.55549578803885
33,1557928726_A01609,,-2.1925858813668674e-07 3.1231676273995963e-05 -0.0014449249681319257 0.020988139052253146 0.06257653786086648
34,1557952047_A01172,,
35,1557957375_A01609,,-1.9386182940771126e-06 0.00023733409943896332 -0.010622521133191008 0.20662697791902965 -1.3305759845869836
36,1559137815_A01609,,0.00023843362125981296 -0.03072389925703198 1.4432578789081745 -29.348380187064386 220.93846313993004
37,1559309040_A01609,,0.000138100086060834 -0.017722534452055568 0.8162364373183153 -15.898295659703425 111.64120382924645
38,1559311950_A01609,,-8.451634236261428e-06 0.0008733706893411867 -0.03355805781403052 0.5691647893307749 -3.463814995513091
39,1560885907_A01609,2.0968415124485324e-05 -0.0023381087755541354 0.09615707368022909 -1.7274008216825607 11.526012257976843,
40,1561053811_A01609,2.846304285836291e-05 -0.002864394410193417 0.10784977251311267 -1.7987539726143473 11.32171888729832,
41,1561428256_A01609,,-1.0851095900854091e-06 0.00012457706814998897 -0.005185055101111171 0.09259938495392443 -0.48114048046481306
42,1561948526_A01609,1.5542057888405173e-07 -3.602921953827707e-05 0.003057863054679264 -0.11166160467715074 1.6318211577672994,
43,1562035686_A01609,-6.413734831126286e-08 1.4480859716689822e-05 -0.0011703659132554732 0.0394543424659795 -0.3478777032015615,
44,1562704125_A01609,,0.0009002368747897936 -0.09433612537002199 3.6630681761750448 -62.60154438124953 401.03720288735553
