,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-0.019650190533748276 0.4750104993504932 61.57605999044992,
1,1547700355_A01172,-0.001149535651568495 0.009265691530105976 62.887364733076765,
2,1547782407_A01172,0.0008789357766265195 -0.030354492685843178 64.48440278599132,
3,1547880148_A01172,-0.00606712139591388 0.14011951990698976 62.47774880955247,
4,1547954828_A01172,0.0031908327015407645 0.07542625008278739 62.10400637087587,
5,1548038666_A01172,,-0.00449590479152094 0.11556082926204819 62.694550562924064
6,1552402053_A01172,-0.007732679005096855 0.09870150731764145 64.65461546417886,
7,1552590157_A01172,0.0076682250675556484 -0.1736749824885241 65.12445535957644,
8,1552620154_A01609,,-0.0012382412947172495 -0.03095499930143114 64.26902597962794
9,1553089387_A01609,,-0.0038255476382840913 0.0797682457650656 62.97280055750307
10,1553102751_A01609,,-0.004374302014430144 0.10973242775957187 63.61799995958157
11,1553885926_A01172,,0.00045112262691148175 0.008563498401256616 64.02515748825371
12,1554082410_A01172,,-0.006502465428814762 0.1178888651103233 63.175762763453484
13,1554403777_A01172,0.002348427076345425 -0.04119237636479841 63.76598017117006,
14,1554748372_A01609,,-0.001186666466571316 0.027188618471486875 64.30204634566802
15,1554840090_A01172,0.022876010549997536 -0.5140162407626538 64.91221150824886,
16,1554906953_A01172,0.015214459259914005 -0.36943711614629693 66.84104711665448,
17,1555002731_A01172,-0.003750536712305275 0.14675209014541454 61.762215844160394,
18,1555696275_A01609,,0.00592347874449153 -0.1807429043152251 64.50049926590145
19,1555736782_A01609,,0.00977514206642619 -0.20716162530652293 64.51831657052554
20,1555987268_A01609,,-0.0010978062256525747 -0.09316835180627402 65.0368247942387
21,1556028453_A01609,,-0.0028256788654828567 0.08450011941792214 62.67659696991903
22,1556039041_A01609,,-0.010634758912510487 0.34303804609908917 61.653410861703286
23,1556115527_A01172,0.008209574903853547 -0.2607537775891876 63.95140243206344,
24,1556125697_A01609,,0.009609547410362044 -0.29464766729942665 65.82717163280864
25,1556219881_A01609,,0.0014278275833778309 -0.0412327531536562 63.24619774513985
26,1556301731_A01609,,-0.008526933235548893 0.19359169597780052 62.390245371159665
27,1556909851_A01172,-0.047817302387897685 1.086931503066644 58.901691895425515,
28,1557323445_A01609,,-0.00034834905520841734 0.026105905314740812 62.78323530276995
29,1557417534_A01172,,0.001457631874793379 -0.03444752047944592 64.57897300529321
30,1557757425_A01609,,0.0017693407057378506 -0.035103869611832775 63.17677299435384
31,1557760240_A01609,,0.009002933364063723 -0.20234071114651692 64.10399548742538
32,1557763139_A01609,,0.0027090288034448276 -0.05967031114152556 63.63929388593624
33,1557928726_A01609,,-0.0021413649029154986 0.12487031012776723 62.54636744112667
34,1557952047_A01172,-0.055411406146387635 1.0822752293869287 58.47022442090426,
35,1557957375_A01609,,0.0027478143249979273 0.007130437306651685 64.0173107898487
36,1559137815_A01609,,-0.00010415837193577462 0.010800630237982344 62.967483935495984
37,1559309040_A01609,,0.006288945887678168 -0.12869973422324724 64.59304413952857
38,1559311950_A01609,,-0.0058132990238427195 0.16254355508555574 63.450361865376514
39,1560885907_A01609,-0.0015423371867583275 0.07120385675070996 62.42366219917528,
40,1561053811_A01609,-0.015476933023411828 0.5165689204912896 59.297740948566606,
41,1561428256_A01609,,0.000785417126884218 0.004388975561599644 62.94826578128257
42,1561948526_A01609,-0.054755477374441364 1.6045311862142237 53.95295513817752,
43,1562035686_A01609,-0.035509763172665965 0.9570729219261734 59.1181701436112,
44,1562704125_A01609,,0.013268559818083203 -0.3564645429668308 66.2350602670283
