,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,0.0038839207376497624 0.05506446671181478,
1,1547700355_A01172,0.0020614261838416818 0.05972131234697758,
2,1547782407_A01172,0.0008268781237331376 0.2638042229317267,
3,1547880148_A01172,-0.0026333750283785793 0.090161556194177,
4,1547954828_A01172,0.011242337741907062 0.09166209983286848,
5,1548038666_A01172,,0.004862641259349711 0.08600215659397792
6,1552402053_A01172,0.018318393269787472 0.04501540256539237,
7,1552590157_A01172,-0.08478682801531598 0.4815587410230424,
8,1552620154_A01609,,0.002759210317266322 0.11598190179787608
9,1553089387_A01609,,0.0064525799781727025 0.03425797204484295
10,1553102751_A01609,,0.002140205374596603 0.06100435380815586
11,1553885926_A01172,,0.0016218116601872676 0.04628367608454149
12,1554082410_A01172,,0.0006857713523367175 0.11951847148850489
13,1554403777_A01172,-0.0007546342813054447 0.08515022598757908,
14,1554748372_A01609,,-0.0050408478091154415 0.19070578799623472
15,1554840090_A01172,0.0017260247283982677 0.044510759914307335,
16,1554906953_A01172,-0.10876958262726266 0.602770321199022,
17,1555002731_A01172,-0.0019390281692317672 0.18087860309908885,
18,1555696275_A01609,,-0.00039156529241774065 0.042381666298270684
19,1555736782_A01609,,0.0032003312067049997 0.08714408355802919
20,1555987268_A01609,,0.004003842557200858 0.03860791818266
21,1556028453_A01609,,0.020289542771538258 0.09506341797387799
22,1556039041_A01609,,0.0070701742538829835 0.16704296093539822
23,1556115527_A01172,0.014613040771745052 0.1285290953663602,
24,1556125697_A01609,,0.0041663885188360636 0.12146901343692655
25,1556219881_A01609,,0.0013331928104897608 0.0652789899411122
26,1556301731_A01609,,0.010187146770743456 0.08153341429594495
27,1556909851_A01172,-0.002935377468087268 0.05251554879802011,
28,1557323445_A01609,,0.005124627354864141 0.06887275842258937
29,1557417534_A01172,,0.0007196867927743164 0.025599457355072668
30,1557757425_A01609,,0.006119580423342288 0.0657789985489063
31,1557760240_A01609,,-0.0030226808328956984 0.06457688851794006
32,1557763139_A01609,,-0.012005375938578346 0.09449995773028952
33,1557928726_A01609,,0.002871129075917872 0.0766271127677543
34,1557952047_A01172,0.006571114834818997 0.058034019977448226,
35,1557957375_A01609,,0.0042061045582786295 0.10193568766709962
36,1559137815_A01609,,0.23385723674784792 1.6027779259729675
37,1559309040_A01609,,-0.07793366837768698 0.484502378492366
38,1559311950_A01609,,0.007077413484728779 0.06738474631286907
39,1560885907_A01609,0.005622400569046293 0.09586940781102479,
40,1561053811_A01609,0.007312224739956221 0.07782853577617022,
41,1561428256_A01609,,0.0038007321599492685 0.09793363937775265
42,1561948526_A01609,0.011143555192890226 0.11101046386974844,
43,1562035686_A01609,0.009175789612168438 0.05141275802882827,
44,1562704125_A01609,,0.08411809632475227 0.9454374806472243
