,recordName,mean
0,1547274726_A01172,34.3621
1,1547700355_A01172,36.0354
2,1547782407_A01172,33.1292
3,1547880148_A01172,34.6646
4,1547954828_A01172,36.045
5,1548038666_A01172,30.2977
6,1552402053_A01172,34.7503
7,1552590157_A01172,
8,1552620154_A01609,33.764
9,1553089387_A01609,33.2858
10,1553102751_A01609,33.5038
11,1553885926_A01172,33.6428
12,1554082410_A01172,35.4532
13,1554403777_A01172,34.7752
14,1554748372_A01609,34.4627
15,1554840090_A01172,35.2456
16,1554906953_A01172,33.3934
17,1555002731_A01172,
18,1555696275_A01609,35.3033
19,1555736782_A01609,35.4119
20,1555987268_A01609,30.5024
21,1556028453_A01609,35.2204
22,1556039041_A01609,35.2897
23,1556115527_A01172,35.3385
24,1556125697_A01609,33.3851
25,1556219881_A01609,35.5778
26,1556301731_A01609,33.6641
27,1556909851_A01172,
28,1557323445_A01609,35.5891
29,1557417534_A01172,32.1712
30,1557757425_A01609,34.6288
31,1557760240_A01609,33.0482
32,1557763139_A01609,30.6991
33,1557928726_A01609,34.031
34,1557952047_A01172,
35,1557957375_A01609,35.2469
36,1559137815_A01609,35.1566
37,1559309040_A01609,31.6386
38,1559311950_A01609,34.5789
39,1560885907_A01609,32.783
40,1561053811_A01609,35.7955
41,1561428256_A01609,33.44
42,1561948526_A01609,32.7889
43,1562035686_A01609,33.6924
44,1562704125_A01609,34.1569
