,recordName,A01172_measurement,A01609_measurement
29,1557417534_A01172,,0.07919905146776678 -8.99968602376991 408.2529689806131 -9241.446267351925 104391.56153292452 -470700.1809859646
30,1557757425_A01609,,8.95223581652462e-07 -0.00015003587468129923 0.009833870931002325 -0.3143486358347707 4.893004003228385 33.44734525671467
31,1557760240_A01609,,-2.331431181107992e-06 0.0003957042894673047 -0.02644562297580065 0.8691314766237405 -14.0441204336861 152.57130306534296
32,1557763139_A01609,,0.0002092091374804329 -0.027383061902370245 1.4223623996916934 -36.645031498661574 468.24322954327266 -2310.747263804197
33,1557928726_A01609,,4.956511988025917e-07 -8.504401622533136e-05 0.005362511158573999 -0.15101126049433186 1.8303691762541405 56.72220224292734
34,1557952047_A01172,,
35,1557957375_A01609,,-3.3015991928957686e-06 0.0006117369954812784 -0.04367584204774145 1.5041320164782968 -25.024236083268114 226.2863381361068
36,1559137815_A01609,,-1.2856478993198646e-05 0.0020460960132586505 -0.12790847058224875 3.926935152006906 -59.22255753784173 414.250545405215
37,1559309040_A01609,,-2.445280944430443e-06 0.00037042987088419703 -0.021080628808890754 0.5578797872514706 -6.70697093257595 92.00921536417468
38,1559311950_A01609,,-0.003983708599522308 0.4593559896755186 -21.145072417836985 485.69761288594793 -5566.844255288556 25533.895013150253
39,1560885907_A01609,2.972021422075261e-05 -0.004048434002332034 0.21851853079604877 -5.8317314933126285 76.90331700277017 -337.65762372366623,
40,1561053811_A01609,0.009745723405353564 -1.1370849627811996 52.95800522880186 -1230.6422514174849 14268.868132541727 -65976.22288292836,
41,1561428256_A01609,,-1.001368733687564e-05 0.0015014433633195275 -0.0875874202341321 2.4724659340455903 -33.57681728581337 237.66108996259786
42,1561948526_A01609,-7.680397907754217e-07 0.00017049935094258937 -0.014573126578801937 0.5979423985066611 -11.76149728837063 152.53339610008595,
43,1562035686_A01609,-3.207190393686369e-07 7.440124050901221e-05 -0.006668115787314685 0.2891286415375352 -6.103297159118955 113.8996135310576,
44,1562704125_A01609,,0.0001890874442779392 -0.026431078467704736 1.4612060799402282 -39.92569813649448 539.1970012046628 -2815.884940059475
