,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,0.07132489725467771 63.595886885244155,
1,1547700355_A01172,-0.017394014554486775 63.17163819825685,
2,1547782407_A01172,-0.0009021612802257106 63.74270045112592,
3,1547880148_A01172,0.004862810177125158 63.1821223658882,
4,1547954828_A01172,0.0572153194811029 62.817958909990594,
5,1548038666_A01172,,0.01915181191553582 63.1184815625567
6,1552402053_A01172,-0.014085206916218618 64.63363804695828,
7,1552590157_A01172,-0.007186602946918259 64.40649295567121,
8,1552620154_A01609,,-0.012288967253640024 63.69570881427362
9,1553089387_A01609,,0.010048607235826694 63.10681362227279
10,1553102751_A01609,,0.0012118863478767755 64.32745717495843
11,1553885926_A01172,,0.03229663726901241 63.92471613484855
12,1554082410_A01172,,-0.025401713999776206 63.9915053868682
13,1554403777_A01172,0.004286838622605867 63.29823789727304,
14,1554748372_A01609,,0.005383209190497366 64.2350848199294
15,1554840090_A01172,0.012228146857507038 62.437879150392746,
16,1554906953_A01172,0.031229520178004337 64.92331235978865,
17,1555002731_A01172,0.05246282606720432 62.30240908590304,
18,1555696275_A01609,,-0.01702381476474205 63.58752845065297
19,1555736782_A01609,,0.01728411490242828 63.405504860163816
20,1555987268_A01609,,-0.013715820207921468 63.87925323154777
21,1556028453_A01609,,0.00666049162994128 63.19579357470016
22,1556039041_A01609,,0.0028149166827517286 63.84248763292754
23,1556115527_A01172,0.031046044682693893 61.92128969811446,
24,1556125697_A01609,,0.011275603943874883 63.89158796930562
25,1556219881_A01609,,-0.004027529708932229 63.11666925698355
26,1556301731_A01609,,0.003399723097406419 63.29290965228189
27,1556909851_A01172,0.12126079407136436 62.993807495742296,
28,1557323445_A01609,,0.012411073906541503 62.89996714412702
29,1557417534_A01172,,0.028325706218981717 64.06995833190047
30,1557757425_A01609,,0.0021582917579492963 63.04530740506106
31,1557760240_A01609,,0.0012032321036418241 63.18735551775577
32,1557763139_A01609,,-0.0033234101511368493 63.38323878905231
33,1557928726_A01609,,0.01770928455510049 63.437271021548426
34,1557952047_A01172,0.10068267072675488 62.457213445563696,
35,1557957375_A01609,,0.012695517669499048 64.54671432782371
36,1559137815_A01609,,0.01504122310068355 62.90792061944086
37,1559309040_A01609,,0.009961776830422061 64.02128337163597
38,1559311950_A01609,,0.013641038976642015 64.25197143692506
39,1560885907_A01609,0.03362848433852326 62.76091473723747,
40,1561053811_A01609,0.01705207152372772 62.373169338001546,
41,1561428256_A01609,,0.009440073504475415 63.02065792124695
42,1561948526_A01609,0.004969507802655974 63.68018797919175,
43,1562035686_A01609,-0.02121330519119367 64.37935558957271,
44,1562704125_A01609,,0.0125134280501507 64.0263424032624
