,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,0.004119113271995112 -0.24568193955044118 37.905624178334534,
1,1547700355_A01172,-0.007314563742866823 0.39530964934582935 30.792597313412983,
2,1547782407_A01172,0.007340343692619872 -0.28586168944047835 35.71507408366849,
3,1547880148_A01172,0.006304487039949878 -0.2510026288312848 37.06338695722028,
4,1547954828_A01172,-0.0020926178801060785 0.11871153053797907 34.40536444336993,
5,1548038666_A01172,,0.0005720012546864066 -0.02514640547620328 30.5246693778993
6,1552402053_A01172,0.00041171619117014787 -0.016799737370245392 34.67060911626004,
7,1552590157_A01172,,
8,1552620154_A01609,,0.0012907469232739932 -0.12071366578915674 36.30363448467971
9,1553089387_A01609,,-0.00033609584178158456 0.02599826865236086 32.84139520149582
10,1553102751_A01609,,-0.0019469659361247343 0.13304228057278233 31.350369692387225
11,1553885926_A01172,,0.004187808027862087 -0.2370328593011645 36.915758561258265
12,1554082410_A01172,,-0.004004320443155156 0.24464546621938293 31.86452584222134
13,1554403777_A01172,0.00034952582729087437 -0.049075983595561735 36.27547130002746,
14,1554748372_A01609,,-0.008357375100656692 0.46287349083352824 28.30922222689138
15,1554840090_A01172,0.0008998818542207116 -0.07378797570559369 36.658573423294676,
16,1554906953_A01172,-0.020780174134747326 1.0054035751075046 21.379557161840978,
17,1555002731_A01172,,
18,1555696275_A01609,,-0.008689347469279124 0.5879846099338681 25.774349844376644
19,1555736782_A01609,,-0.0009878747640229028 0.07816850017967804 33.9999991925849
20,1555987268_A01609,,-0.0015535278368858456 0.06773604911131816 29.894199133640438
21,1556028453_A01609,,0.00018839761176412263 0.0025779571426199086 35.02433297761497
22,1556039041_A01609,,-0.008066547918111447 0.424826141366498 29.920931795220124
23,1556115527_A01172,0.0024102270189581684 -0.12954807544295702 37.01562645186134,
24,1556125697_A01609,,0.003974223807896318 -0.2615644497828238 37.51086976940247
25,1556219881_A01609,,-0.0143558475448085 0.639775712037862 28.505219509739657
26,1556301731_A01609,,-0.0005240566181861452 0.031044720480885964 33.21691473895668
27,1556909851_A01172,,
28,1557323445_A01609,,-0.017982492482838522 0.6601513408986216 29.620615376622123
29,1557417534_A01172,,-0.025922968616984607 1.1307834843025342 19.91196182049302
30,1557757425_A01609,,-0.0010780607043307491 0.07663178813240999 33.33808012915628
31,1557760240_A01609,,0.0008586094168943945 -0.0923660236991337 35.103659237750456
32,1557763139_A01609,,0.004192036472232567 -0.195278915952056 32.879687907549986
33,1557928726_A01609,,0.0011977644509774013 -0.09036815814800335 35.57200346197636
34,1557952047_A01172,,
35,1557957375_A01609,,-0.0011124226763869786 0.070481639032021 34.18062952365166
36,1559137815_A01609,,-0.00010606217534999666 0.018489994505606146 34.67322468555925
37,1559309040_A01609,,0.0010865127900160786 -0.06606970523463808 32.61245253574324
38,1559311950_A01609,,-0.006747036993413208 0.32378714974013467 30.72132657494592
39,1560885907_A01609,-0.0008911871140357132 0.06786772575717354 31.604702098796903,
40,1561053811_A01609,0.005716789950806094 -0.24145369983796272 38.29165736794867,
41,1561428256_A01609,,0.0005748439018316772 -0.019705171515820068 33.48051891081787
42,1561948526_A01609,0.0014181672017562544 -0.09643148426973776 33.94601812959225,
43,1562035686_A01609,-0.00045181767452617426 0.06641715786543095 31.71173906946658,
44,1562704125_A01609,,0.001637218083907292 -0.07218882819076672 34.86869055923156
