,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-4.972845257928676e-06 0.0002739011133641289 -0.005645219259259881 0.054953358165325664 -0.2531218364593366 0.5343693705333589,
1,1547700355_A01172,-6.250866713658524e-07 1.816700958964404e-05 0.0002593398122726037 -0.013095569816422813 0.13414398342299216 -0.3208682597663377,
2,1547782407_A01172,2.8166908238862873e-05 -0.001732768793303939 0.040623137226985614 -0.45087433931554843 2.3657589267785184 -4.4526313083024185,
3,1547880148_A01172,1.6835441523602238e-06 -9.847078350486003e-05 0.002286983938057635 -0.026156464365403975 0.1444023858358566 -0.24946277260890376,
4,1547954828_A01172,-1.1323971313471533e-06 9.0518890442671e-05 -0.0025734930640954356 0.033123088118366284 -0.19876401555191422 0.5817697263311349,
5,1548038666_A01172,,-6.614259494010132e-07 3.8223131913545276e-05 -0.0008198883197320511 0.00785501710835683 -0.030016015018522572 0.14114693097862047
6,1552402053_A01172,1.823982301765602e-06 -0.00011218615591778202 0.0026823171966405186 -0.031437216976877805 0.19592489064591112 -0.3106044120997355,
7,1552590157_A01172,-9.829434767774286e-06 0.000621934644327118 -0.01504436024587852 0.17238607706842704 -0.9272084646132552 2.024079525370611,
8,1552620154_A01609,,2.7054198142212885e-07 -1.5872746567121247e-05 0.0003516795634082584 -0.0035100377309966236 0.0179274517996509 0.09690286141526044
9,1553089387_A01609,,-5.459808483518627e-06 0.000317455825532978 -0.006927429039669239 0.07008841588237986 -0.321867580446079 0.6146245145290273
10,1553102751_A01609,,1.6040804896300465e-06 -0.00010311325715644353 0.0025296972483373984 -0.029406893690557795 0.1615782857336673 -0.2641597096702598
11,1553885926_A01172,,-3.1860022593147205e-06 0.00021187496901358131 -0.0054097334053131736 0.06569975012726272 -0.3729938135090705 0.8399120871566494
12,1554082410_A01172,,1.5089828011965593e-06 -0.00011244318034030311 0.0031061686983414006 -0.039727202909071356 0.23719462541238048 -0.40330041006139095
13,1554403777_A01172,3.616607547953832e-06 -0.00021834514038432878 0.004972772034840527 -0.05332836807126527 0.2692313014341457 -0.43380420899205013,
14,1554748372_A01609,,7.531838414730712e-05 -0.005231837399454388 0.13541880315557922 -1.6055388021257226 8.783635208274431 -17.709049762622627
15,1554840090_A01172,8.093079284798417e-07 -4.592218236748674e-05 0.0009871946429312296 -0.010126865682697071 0.051006089840765566 -0.04582208525813772,
16,1554906953_A01172,-1.0776626058231676e-05 0.0005368580690421841 -0.009813608448842399 0.08311370750043226 -0.33602114652938464 0.699441602670497,
17,1555002731_A01172,2.582691514558235e-05 -0.0014648922478890517 0.0315810926832444 -0.3217750920265279 1.5518943615437177 -2.6664058328711833,
18,1555696275_A01609,,-7.74344265991646e-07 3.716206909748786e-05 -0.00048322290360285324 -0.0013453738185016972 0.05691313071928741 -0.16924994083012937
19,1555736782_A01609,,5.680852499535395e-07 -2.9657554902168737e-05 0.0005108860426046546 -0.0027089756237144514 -0.0027036387507358766 0.14774191832334674
20,1555987268_A01609,,4.148855449945147e-06 -0.00025006889471140267 0.005687538495218081 -0.0601934040655232 0.2946310543878269 -0.48185666596806187
21,1556028453_A01609,,1.3613481520156796e-06 -8.483440631339613e-05 0.0020313622092132493 -0.02225257310162642 0.11071439677538895 0.01102919129066071
22,1556039041_A01609,,-3.0329468861385304e-06 0.00018618895162188416 -0.0041384956934927735 0.04030586803011587 -0.17544578178441894 0.500573860675053
23,1556115527_A01172,-1.1914091034011927e-06 6.88489231158209e-05 -0.0014668673612761906 0.01402045485754494 -0.05330512768594859 0.2565033492930059,
24,1556125697_A01609,,3.3831537564564264e-07 -2.5380738189119028e-05 0.0007227256880977357 -0.009675175640533003 0.062189998701186903 -0.003943322761650034
25,1556219881_A01609,,-1.0042891706796262e-06 6.585495411902928e-05 -0.0016574999376996109 0.01969019466614286 -0.10736194292605665 0.2839282203930916
26,1556301731_A01609,,1.47887282994385e-07 -1.3061456274328666e-06 -0.00010309756688241097 0.0019397255468106926 -0.009960528252951564 0.14171005434401507
27,1556909851_A01172,6.00559606288699e-06 -0.0003000070647151346 0.005696857578239605 -0.05076997211959244 0.20736858000585 -0.23992969276881548,
28,1557323445_A01609,,2.412425542604147e-06 -0.0001595749842702308 0.004004616226966992 -0.04718042110186286 0.25932273537119815 -0.43436476795661627
