,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-6.292845934007172e-05 0.0008770555865501721,
1,1547700355_A01172,0.00042927278490593644 -0.0088569952143996,
2,1547782407_A01172,0.0007478947375504534 -0.013907806768459173,
3,1547880148_A01172,0.00616908681059755 -0.05842328718726146,
4,1547954828_A01172,0.002142178545702544 -0.02982995749292441,
5,1548038666_A01172,,0.0013625575169541086 -0.019986952950075736
6,1552402053_A01172,-0.0009797226163251217 0.00918512792833705,
7,1552590157_A01172,-0.004755535722096943 0.06373044207025785,
8,1552620154_A01609,,-0.004637240554975616 0.07558239052070556
9,1553089387_A01609,,-0.00010306733902654414 0.006908383099502801
10,1553102751_A01609,,0.0017935224312072664 -0.01968921741886704
11,1553885926_A01172,,0.004703803903572984 -0.0634492061077522
12,1554082410_A01172,,-7.008357625519238e-05 0.0004894195001900906
13,1554403777_A01172,-0.0016169396488337794 0.08338165652874911,
14,1554748372_A01609,,0.0005047095978993363 -0.005292568383717755
15,1554840090_A01172,0.03191781959014153 -0.31629190194049533,
16,1554906953_A01172,0.004761600685465185 -0.0668452306005437,
17,1555002731_A01172,-0.0003615188195060266 0.003324513973097082,
18,1555696275_A01609,,0.0015718726205053125 -0.018370131992439885
19,1555736782_A01609,,-0.00046193263794656306 0.006037348041976424
20,1555987268_A01609,,-0.00012719937416181951 -0.0010318372521055227
21,1556028453_A01609,,-0.007611733270965138 0.10813481162553379
22,1556039041_A01609,,0.0022984430211148684 -0.02514848285451818
23,1556115527_A01172,-4.665022521526468e-05 -0.00040643831873731607,
24,1556125697_A01609,,0.0018843679124199405 -0.027572759097343753
25,1556219881_A01609,,0.015566961140305318 -0.1558146035944017
26,1556301731_A01609,,-0.0011790350553823059 0.0177344144391641
27,1556909851_A01172,0.0006633388592242094 -0.00890631598244604,
28,1557323445_A01609,,-0.002508534742815902 0.03408250606268232
29,1557417534_A01172,,-0.04967426630938354 0.7464426635521507
30,1557757425_A01609,,-0.0008233792682411826 0.006698032762202167
31,1557760240_A01609,,0.01142004170974102 -0.14176026554427656
32,1557763139_A01609,,-0.1506046822209546 1.5046271309895207
33,1557928726_A01609,,-0.009166168707896766 0.13724043448520995
34,1557952047_A01172,-0.001703721092749661 0.019055063959304615,
35,1557957375_A01609,,0.006053516766495534 -0.06953486720926318
36,1559137815_A01609,,0.0028006555313410697 -0.041420236766296185
37,1559309040_A01609,,0.0013150229462377708 -0.017674571459498495
38,1559311950_A01609,,0.0033765638173649647 -0.03925970445978407
39,1560885907_A01609,0.0038809182436546933 -0.09549712227307648,
40,1561053811_A01609,-0.00026659382222812557 0.005588807326700594,
41,1561428256_A01609,,0.0018991871535360193 -0.014799717643198089
42,1561948526_A01609,0.0008750215820615345 -0.019154120550938125,
43,1562035686_A01609,-0.0016616002187728966 0.01674958711476578,
44,1562704125_A01609,,0.0008950629658403599 -0.0136724457070822
