,recordName,mean
0,1547274726_A01172,0.0001
1,1547700355_A01172,-0.0035
2,1547782407_A01172,-0.0046
3,1547880148_A01172,0.0187
4,1547954828_A01172,-0.0031
5,1548038666_A01172,-0.003
6,1552402053_A01172,-0.0031
7,1552590157_A01172,0.0054
8,1552620154_A01609,0.0176
9,1553089387_A01609,0.0056
10,1553102751_A01609,0.0027
11,1553885926_A01172,-0.0047
12,1554082410_A01172,-0.0004
13,1554403777_A01172,0.0632
14,1554748372_A01609,0.001
15,1554840090_A01172,0.0827
16,1554906953_A01172,-0.0073
17,1555002731_A01172,-0.0009
18,1555696275_A01609,0.0013
19,1555736782_A01609,0.0003
20,1555987268_A01609,-0.0026
21,1556028453_A01609,0.013
22,1556039041_A01609,0.0036
23,1556115527_A01172,-0.001
24,1556125697_A01609,-0.004
25,1556219881_A01609,0.0388
26,1556301731_A01609,0.003
27,1556909851_A01172,-0.0016
28,1557323445_A01609,0.0027
29,1557417534_A01172,0.1255
30,1557757425_A01609,-0.0036
31,1557760240_A01609,0.001
32,1557763139_A01609,-0.3779
33,1557928726_A01609,0.0227
34,1557952047_A01172,0.0035
35,1557957375_A01609,0.0061
36,1559137815_A01609,-0.0064
37,1559309040_A01609,-0.0012
38,1559311950_A01609,0.0029
39,1560885907_A01609,-0.047
40,1561053811_A01609,0.0023
41,1561428256_A01609,0.0089
42,1561948526_A01609,-0.0082
43,1562035686_A01609,-0.004
44,1562704125_A01609,-0.0025
