,recordName,mean
0,1547274726_A01172,0.1317
1,1547700355_A01172,0.083
2,1547782407_A01172,0.2872
3,1547880148_A01172,0.0526
4,1547954828_A01172,0.1112
5,1548038666_A01172,0.1218
6,1552402053_A01172,0.2766
7,1552590157_A01172,0.1624
8,1552620154_A01609,0.1567
9,1553089387_A01609,0.1057
10,1553102751_A01609,0.0741
11,1553885926_A01172,0.0715
12,1554082410_A01172,0.14
13,1554403777_A01172,0.0723
14,1554748372_A01609,1.3629
15,1554840090_A01172,0.0597
16,1554906953_A01172,0.1987
17,1555002731_A01172,0.2121
18,1555696275_A01609,0.0567
19,1555736782_A01609,0.1366
20,1555987268_A01609,0.0651
21,1556028453_A01609,0.2483
22,1556039041_A01609,0.1482
23,1556115527_A01172,0.2351
24,1556125697_A01609,0.1587
25,1556219881_A01609,0.078
26,1556301731_A01609,0.1323
27,1556909851_A01172,0.0556
28,1557323445_A01609,0.1011
29,1557417534_A01172,0.0324
30,1557757425_A01609,0.1135
31,1557760240_A01609,0.1874
32,1557763139_A01609,0.1007
33,1557928726_A01609,0.0975
34,1557952047_A01172,0.1764
35,1557957375_A01609,0.1419
36,1559137815_A01609,3.7419
37,1559309040_A01609,0.3621
38,1559311950_A01609,0.1189
39,1560885907_A01609,0.097
40,1561053811_A01609,0.1238
41,1561428256_A01609,0.1167
42,1561948526_A01609,0.2114
43,1562035686_A01609,0.0938
44,1562704125_A01609,2.025
