,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,1.505153986591837e-06 -8.169979213390673e-05 0.0015911427419171285 -0.013086306816541562 0.03807716335824289,
1,1547700355_A01172,-4.467147569711268e-05 0.002278515712222718 -0.041890980678635795 0.327128611930878 -0.9098619518012033,
2,1547782407_A01172,-5.0997891254301e-05 0.002632414530262388 -0.049031896071617335 0.3882368665887324 -1.0955031027574924,
3,1547880148_A01172,0.00023728724224931176 -0.011156085966174263 0.18693574793047207 -1.3155210507090598 3.267927589997702,
4,1547954828_A01172,-3.852613975590315e-05 0.0021629197991395797 -0.04356036335753764 0.37028211478726186 -1.1115938230061464,
5,1548038666_A01172,,-3.851390356450082e-05 0.0020738793021895813 -0.040211534471355004 0.33040848111308074 -0.9631284766770043
6,1552402053_A01172,-3.970347100815799e-05 0.00187822705374516 -0.031716578836122195 0.2253087546727227 -0.5656989290914277,
7,1552590157_A01172,7.681814544084651e-05 -0.004306511166275252 0.08638504164408066 -0.7301892997701576 2.178915224616236,
8,1552620154_A01609,,0.00022553156856287303 -0.011751115998262682 0.22068658429463453 -1.7594154095942247 4.990771668285732
9,1553089387_A01609,,6.684843397496274e-05 -0.0032020541156266686 0.05480503182519919 -0.39625695871370625 1.0239919570117
10,1553102751_A01609,,3.620654670648529e-05 -0.001622233211972015 0.02551368672987056 -0.1648388718247595 0.3640727521916981
11,1553885926_A01172,,-3.581718943740104e-05 0.002268382521430436 -0.05030179931868628 0.4626493109306196 -1.4836357371845188
12,1554082410_A01172,,-4.059375057681535e-06 0.0001961168470784064 -0.003404726905929683 0.025063444600928443 -0.06575690268048458
13,1554403777_A01172,0.0007689963812480128 -0.03860623256795049 0.6981004359923952 -5.3599614319335105 14.664430910621649,
14,1554748372_A01609,,1.3197797490039933e-05 -0.0006049732502727783 0.00981446407700617 -0.06623697490267996 0.1558510968460736
15,1554840090_A01172,0.0010552516527513119 -0.04943275729129956 0.8247811812832604 -5.77254580321239 14.228435922424822,
16,1554906953_A01172,-9.42491969823296e-05 0.005210148722923326 -0.10346619866805559 0.8686836245495774 -2.5813694635909386,
17,1555002731_A01172,-1.774766835639416e-05 0.0007811141355861512 -0.012322155440528094 0.0822076733361126 -0.1950734914470397,
18,1555696275_A01609,,2.3945872496872674e-06 2.776109405732525e-05 -0.0032531637137533775 0.04620226382433517 -0.1827561877129127
19,1555736782_A01609,,3.1816299160002705e-06 -0.00020745432396556787 0.004676946982889105 -0.0433652370109644 0.1392964421981931
20,1555987268_A01609,,-1.979319300526646e-05 0.0009584693729279527 -0.01673596739113762 0.12467649618006105 -0.3345327116037833
21,1556028453_A01609,,0.00016150156410537196 -0.008854172519526776 0.17457250958797008 -1.4569667319340052 4.309771551535879
22,1556039041_A01609,,4.374937384222518e-05 -0.001945292087775083 0.030286723849484033 -0.19297971550106208 0.418016020313411
23,1556115527_A01172,-1.2477216345554338e-05 0.0006204048925632105 -0.01109742057537742 0.08416896528835553 -0.22716193856140957,
24,1556125697_A01609,,-4.592788136121638e-05 0.0024953454277377783 -0.04882212607640781 0.40484108333580354 -1.1912440755552611
25,1556219881_A01609,,0.0004947551392470944 -0.023092117909444945 0.3835518881183593 -2.669616756012113 6.536892158155447
26,1556301731_A01609,,3.740344856003612e-05 -0.001998231517711244 0.038454669146935766 -0.31376703825323216 0.908997105308297
27,1556909851_A01172,-1.5781473505149447e-05 0.0008672049869953408 -0.016938362437112938 0.13877710789615574 -0.40042710389855934,
28,1557323445_A01609,,3.372081512104957e-05 -0.001948045031916265 0.040151044797114885 -0.34773946356592594 1.0601805070371155
29,1557417534_A01172,,0.001528574733230827 -0.08151266668598921 1.5665233046300238 -12.774095918540421 37.022627974732956
30,1557757425_A01609,,-4.071581487129884e-05 0.0019504303393556464 -0.03345602155929112 0.24228625652510016 -0.622686817396725
31,1557760240_A01609,,5.203659582803972e-05 -0.001401597982308134 0.0014933328770189774 0.18404063796732986 -1.055917041105212
32,1557763139_A01609,,-0.004682075053986914 0.218506117947688 -3.629154565828267 25.258666603377268 -61.84254981474701
33,1557928726_A01609,,0.0002789558784711809 -0.014877755842702383 0.2860061405293825 -2.3333271336739876 6.7667170542887405
34,1557952047_A01172,0.00042811806419318057 -0.016180735791572913 0.2243089698309381 -1.3488321653417787 2.9625559660069603,
35,1557957375_A01609,,6.584278622217296e-05 -0.002678442325922338 0.03632074676163258 -0.1815550734999273 0.22750415214073327
36,1559137815_A01609,,-7.295230940586789e-05 0.003933484572168528 -0.07643446565521482 0.6301329056152276 -1.8457666200043517
37,1559309040_A01609,,-1.1614862281857427e-05 0.0007107197557612503 -0.015355956549360408 0.13841829908349512 -0.43693872934093403
38,1559311950_A01609,,3.7076275314422026e-05 -0.0015021723709243626 0.020175940815842546 -0.09840536868093493 0.1119932105168551
39,1560885907_A01609,-0.0005567619224714233 0.028199978460392534 -0.514792569912095 3.9924438431047076 -11.038038828372356,
40,1561053811_A01609,2.4333267074028483e-05 -0.0012424453390720964 0.022897520142660166 -0.17954182212777328 0.5025025639956108,
41,1561428256_A01609,,9.963839314551514e-05 -0.004823127124690526 0.083749270017813 -0.614776106616182 1.6018621516799976
42,1561948526_A01609,-0.00010155925082426829 0.005175319986316583 -0.09500287236050516 0.7401613087017707 -2.052708744397072,
43,1562035686_A01609,-4.8718854370833185e-05 0.00226355045213804 -0.03739126889644941 0.258515339764157 -0.6279038676588728,
44,1562704125_A01609,,-3.433713900964116e-05 0.0017848331447043344 -0.033481822625594404 0.2672647152045079 -0.7613159404328778
