,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-5.0848691733309255e-05 0.0028278930825401567 -0.05394590380955109 0.4298773179803904 33.04604556076704,
1,1547700355_A01172,5.4073437207213543e-05 -0.002166072610238342 0.025639129743886137 -0.06063612658868586 35.49830910501964,
2,1547782407_A01172,5.9704039792141685e-05 -0.003370233794620691 0.0647969378106492 -0.4593396666949082 33.61471514064356,
3,1547880148_A01172,0.0001893755296405856 -0.009666862871123115 0.1744860063276702 -1.176460359010025 35.4943000823715,
4,1547954828_A01172,-4.6822097732268316e-05 0.00263511515319931 -0.05479368928303413 0.5419447187725609 33.462313105460375,
5,1548038666_A01172,,-1.4691482222249101e-05 0.000571882249223894 -0.011790397392164491 0.2066445216616694 28.5834825311196
6,1552402053_A01172,1.6831238854721424e-05 -0.0006504501771065721 0.0036764828403307625 0.11506762084506006 33.23635955280366,
7,1552590157_A01172,-0.00019173645947568463 0.008131359773539086 -0.11976901668591985 0.7201288262849876 35.536315683019915,
8,1552620154_A01609,,-5.519865475923028e-05 0.0024413661533894916 -0.0393765083914412 0.3126554531511127 32.88189374470769
9,1553089387_A01609,,0.0001893976168290915 -0.009891441109020915 0.18357160934302347 -1.3644401365597645 36.12393043322068
10,1553102751_A01609,,0.00016886928333901955 -0.00859468466375297 0.15492399037731233 -1.0706739660261113 34.373430069631986
11,1553885926_A01172,,0.00020489092196214004 -0.011892503122132218 0.2499198079458519 -2.2630800579977204 41.323326878166775
12,1554082410_A01172,,0.00014740360921609998 -0.006973243051015445 0.11366652963866743 -0.7176883251424925 36.33755387170321
13,1554403777_A01172,-3.981407149762205e-05 0.0021482078410869354 -0.04403539785584656 0.46360423911046933 32.51848527842448,
14,1554748372_A01609,,1.155029286125599e-05 -0.0011633298654363615 0.033424561274642495 -0.2648805898858495 33.67275201212851
15,1554840090_A01172,-0.00021019544748231058 0.011199760262828942 -0.2051069038061283 1.4617826306219457 32.249047481627464,
16,1554906953_A01172,0.0004736167869434752 -0.020741347805244434 0.3083343393620146 -1.9064548555673337 38.62702588102956,
17,1555002731_A01172,0.00016808352355109286 -0.008607131895569707 0.1547356455096168 -1.0872380281011442 38.110565650330855,
18,1555696275_A01609,,0.0003810486056448506 -0.021075575785865462 0.4151463537194756 -3.251724222650122 40.7665614207399
19,1555736782_A01609,,0.0001298030892973112 -0.006835522473441965 0.12762467476513142 -0.9231779670362396 36.55355112776371
20,1555987268_A01609,,4.7243017459901724e-05 -0.0036518634665011103 0.0912117735907913 -0.807910946224433 31.81397586989052
21,1556028453_A01609,,-9.582380945189646e-05 0.004898332598413244 -0.09016360750776233 0.7655417302562278 32.058847730705985
22,1556039041_A01609,,0.00035596568649954967 -0.016403706324485446 0.2666148113986008 -1.826249902654815 39.645069553005825
23,1556115527_A01172,6.393212891912887e-05 -0.002595656163307392 0.03116455966215312 -0.05970076781540917 34.71960659815257,
24,1556125697_A01609,,-4.0672173220848546e-05 0.0015922110511965796 -0.022417840080129085 0.18170306049455742 32.890108113854986
25,1556219881_A01609,,1.814928254757546e-05 -0.000944464886015687 0.016121824576876363 -0.08194861415901647 35.36572734884288
26,1556301731_A01609,,-3.868148173125938e-05 0.0029671605678931027 -0.07733856543323028 0.7734056157071862 31.494832896201572
27,1556909851_A01172,0.0002681340754619275 -0.01257580924663909 0.21603899350003328 -1.5458960158106085 35.89909592449076,
28,1557323445_A01609,,-0.00015742926007758287 0.007845560766643342 -0.13641322396548478 1.0921351318109294 30.705269085583378
29,1557417534_A01172,,0.00011366068305745522 -0.007011731062454706 0.15171670734052264 -1.248556472447634 34.365303196345884
30,1557757425_A01609,,6.360862106176701e-05 -0.0027915972173637497 0.04038625596209239 -0.14594052957121656 33.272289197136054
31,1557760240_A01609,,0.00018063435388420657 -0.010475166697797359 0.2226085183904288 -2.036037723783196 40.175041500256825
32,1557763139_A01609,,0.00020632610998516583 -0.010087729729725992 0.17843849394025124 -1.31595355230434 33.560834498522055
33,1557928726_A01609,,4.190868162148691e-06 0.0007298372704430241 -0.02123774786685125 0.22630994007953337 32.28433218701177
34,1557952047_A01172,0.00011482075540972539 -0.00848164375530207 0.18441612678208802 -1.5166249126679336 38.0697445637556,
35,1557957375_A01609,,2.292127100609316e-05 -0.0011426908872023283 0.017351490605585787 -0.04025451827679734 34.35044003933471
36,1559137815_A01609,,-2.455827846144966e-05 0.0018288949728861837 -0.04323676075649599 0.4247149218759673 33.1520520108028
37,1559309040_A01609,,0.00020986487974634623 -0.010947849777830856 0.20138689060514914 -1.5374888722450075 35.84254381340957
38,1559311950_A01609,,-0.00028199900113953915 0.014908870317756819 -0.2775153317138519 2.1760379597162602 27.91991346206442
39,1560885907_A01609,-2.83700584588973e-06 0.0005331179868834151 -0.02120685099629831 0.36583714092522324 30.150488530677066,
40,1561053811_A01609,-1.3106838111552098e-05 0.00037931870427239 -0.00510839647389482 0.11916547826500372 34.342019090875105,
41,1561428256_A01609,,-1.200034718871301e-05 0.0007174441585618775 -0.016470340582498105 0.2142140406817994 31.815295284902017
42,1561948526_A01609,0.00019341517948940595 -0.008138271671930186 0.11463671826875563 -0.6041479786345486 32.929253018145396,
43,1562035686_A01609,-6.243809421182336e-05 0.0034314097023998105 -0.0667401342514459 0.5943811071140687 30.252941631060356,
44,1562704125_A01609,,0.00011480756174338216 -0.0057859742723804924 0.09758552704473497 -0.6098374477965962 35.1368239256867
