,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-0.00891296302809701 0.09974198659814815 -0.3788958812178559 0.5543204190591721 -0.2429133004592526,
1,1547700355_A01172,0.0038947028313613993 -0.026655221455838932 0.03817605335433299 0.03296331258779137 -0.05021678984319173,
2,1547782407_A01172,-0.0026528057489740276 0.04562129344480201 -0.23023904668267273 0.4108145028639108 -0.20463688672707628,
3,1547880148_A01172,-0.006234824051173588 0.04888568490910957 -0.10273430632903907 0.02802188766493104 0.03585973090413497,
4,1547954828_A01172,0.05491261493408474 -0.5764700453069865 2.0344062575099793 -2.722775151708366 1.0568701698902478,
5,1548038666_A01172,,0.012448823491609886 -0.12289792108066747 0.40563030677886114 -0.5020883899890092 0.16526251235319506
6,1552402053_A01172,0.0024857461843559104 -0.02700917904006257 0.1003674276522528 -0.1462544149055998 0.06456603611946142,
7,1552590157_A01172,-0.021091857109651196 0.18074899019490942 -0.4769165756208321 0.39334078736146827 -0.04165508668838441,
8,1552620154_A01609,,-0.02286174744882973 0.15920277979100966 -0.2401465048984266 -0.17175679017965959 0.29113015638548967
9,1553089387_A01609,,-0.17656151510615375 1.9628995001896152 -7.409473141565002 10.77606443653151 -4.6914950845152275
10,1553102751_A01609,,0.004945558355814727 -0.05030638061365492 0.1717229440831938 -0.2218292404765541 0.08313981103273214
11,1553885926_A01172,,0.15500896023014635 -1.6970692283394277 6.280163421364384 -8.869914700444353 3.663639588936194
12,1554082410_A01172,,-0.0008689679702376573 0.012284087838158807 -0.05635386013814355 0.09587362934155604 -0.046754217166158414
13,1554403777_A01172,-0.059757723852385584 0.42348942735752404 -0.6858691734338825 -0.3042745062053662 0.6519697017072573,
14,1554748372_A01609,,0.003782499648807561 -0.04331833100908362 0.16651892350577888 -0.2374911033560379 0.08703204870243528
15,1554840090_A01172,-0.005464797989852384 0.06888403395345523 -0.28896164908283617 0.45400032318661676 -0.20016810140670108,
16,1554906953_A01172,0.01511950116204355 -0.10861887056394884 0.185801107374755 0.0500851974240003 -0.15313276775363224,
17,1555002731_A01172,-0.002290913436416039 0.022165576039245936 -0.07099448020073722 0.08602047638700928 -0.03202106420285987,
18,1555696275_A01609,,-0.014066460617756647 0.1721348626846885 -0.7240812286682146 1.2084697274612706 -0.6520288689121149
19,1555736782_A01609,,-0.005972810547579179 0.05999123600500752 -0.19928825375269485 0.24510852044056192 -0.08616735002447737
20,1555987268_A01609,,-0.012334953982927095 0.1198623342626149 -0.37283043406494526 0.40553420984605876 -0.10939189317693061
21,1556028453_A01609,,-0.07471394452462102 0.7146356763103898 -2.2442402538038633 2.5751293761556107 -0.8006795831542735
22,1556039041_A01609,,-0.10687350485630086 1.2057419015385924 -4.607404167837864 6.753874060029849 -2.9383726947184954
23,1556115527_A01172,-0.007657783582443966 0.08992460435056272 -0.358373500460451 0.5508514403670862 -0.2549281886286759,
24,1556125697_A01609,,0.005892864535036276 -0.0321200098489469 -0.005399702476103169 0.18759878771718624 -0.15088144800977057
25,1556219881_A01609,,-0.04125439817893802 0.45050092488724497 -1.6571270196768262 2.316466957185252 -0.9410709073554091
26,1556301731_A01609,,-0.008595999435834367 0.07427377353200856 -0.19711501534746692 0.16093180423623643 -0.013164601459879119
27,1556909851_A01172,0.0009717278144917818 -0.0018352475147449053 -0.029480401541306305 0.10200235631584996 -0.07625815375395525,
28,1557323445_A01609,,0.004125223404740681 -0.07544322478068383 0.39228724255509134 -0.7104110029502732 0.35073420605052286
29,1557417534_A01172,,-0.5595632222904416 5.447326742901381 -17.550777240384672 20.99241244052825 -7.077983755968195
30,1557757425_A01609,,0.0348212538617445 -0.38014137845079593 1.3997323818093044 -1.9614946712323418 0.7996774148808172
31,1557760240_A01609,,0.03459777090664285 -0.28308567298455584 0.6757114370305579 -0.38741713058421484 -0.1209068718738763
32,1557763139_A01609,,-0.24508211208071876 2.7387745293864896 -10.330263112328849 14.843649222050342 -6.2230210460846385
33,1557928726_A01609,,-0.1565029182787317 1.5991278909793443 -5.476885826024645 7.089104809243086 -2.6571923344613517
34,1557952047_A01172,-0.09442611405207689 1.0344266407888976 -3.815944541786491 5.338944064487587 -2.1552972787315396,
35,1557957375_A01609,,0.003173715568345211 -0.005210728043881239 -0.09395506880273355 0.29822406886103303 -0.1941150380196351
36,1559137815_A01609,,0.013678534333630738 -0.09622656748927731 0.14986490476501213 0.08911153253504772 -0.16322315949645114
37,1559309040_A01609,,0.007591025642600336 -0.06435197908798629 0.16463207684241754 -0.12332961989413967 0.003593315834138121
38,1559311950_A01609,,0.009698424986660202 -0.08891933327465813 0.2627139465939514 -0.27400737661228963 0.07163846454504531
39,1560885907_A01609,0.09158319750545987 -0.8233328899491335 2.3600331924247353 -2.334222790857908 0.5412615979973401,
40,1561053811_A01609,-0.007693017956107427 0.07169948491088983 -0.21648519649001777 0.23475972110046683 -0.06864282363193815,
41,1561428256_A01609,,0.007969632417604245 -0.099175256785339 0.41016959867374736 -0.6370737676749296 0.28346103739296297
42,1561948526_A01609,-0.012848813047080134 0.17050901372445984 -0.7384943498539951 1.1892608290450495 -0.5483810988953048,
43,1562035686_A01609,-0.01042057561451427 0.11581141209035804 -0.4340317313912703 0.6178677196578647 -0.25469197739538463,
44,1562704125_A01609,,0.007715527356718779 -0.06772591720074714 0.185424873503987 -0.16504149053508596 0.025643597852230988
