,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-0.2722104960079103 2.74135200988507 -9.213959093724817 9.862626887138333 70.05211528664272,
1,1547700355_A01172,0.26162137410937597 -1.7880083353435132 -1.1352937725992411 18.69791583773717 67.86888609073611,
2,1547782407_A01172,-0.2534987858544691 2.597648044635904 -7.5544524271303075 2.175746714958514 90.1882129766582,
3,1547880148_A01172,-3.310351073064352 29.830580166427694 -78.05676854245048 36.60229385614641 147.00355437663939,
4,1547954828_A01172,-0.40234376511365727 4.924392453998965 -25.629918985113 54.403196668379536 57.563714656501226,
5,1548038666_A01172,,-1.9383269820649063 19.829698391864866 -61.01428775362132 54.728245318947906 69.06827773519458
6,1552402053_A01172,0.5580585377583313 -7.186718400305804 29.161914581172688 -36.56867311384779 90.15597562029208,
7,1552590157_A01172,-0.2527543163725426 2.8587091771104842 -10.955959171543624 16.451523049031046 68.43538517134628,
8,1552620154_A01609,,-0.6671668328504663 7.106869930130854 -25.548226190215573 32.2886238402284 68.92274933470128
9,1553089387_A01609,,-0.22154675912634347 0.7363073559050486 5.154895724699639 -20.71823682620366 84.08714091151926
10,1553102751_A01609,,0.357778774165226 -4.0411985936880015 14.713432019207982 -16.50189203066504 78.1449694613095
11,1553885926_A01172,,0.2859920526746225 -1.4356813963494481 -5.1151082910132075 30.925064842048776 51.456175894259964
12,1554082410_A01172,,1.263465078785185 -12.587902669150363 36.81228923382078 -26.643131554845144 70.98953673838962
13,1554403777_A01172,-0.4232490522785234 3.594968940564882 -7.534334883825722 -3.6785226327507528 80.46160850641006,
14,1554748372_A01609,,-0.3793255365185385 2.0096704558183003 3.2935477774954163 -19.91091318310685 94.31061007082052
15,1554840090_A01172,0.012145427331194347 -0.004478586677637125 -0.9142666410998248 4.102358505450397 81.84446039132797,
16,1554906953_A01172,-2.9616079598519214 29.464013087099122 -94.5048670591099 96.68151050924588 129.40700707545938,
17,1555002731_A01172,-0.3106552499147215 3.2825328964393434 -12.699319330528166 26.688530323704537 62.34687148831478,
18,1555696275_A01609,,2.1145611344228956 -22.76049744079468 73.583857935188 -56.132492674612635 68.95345487290417
19,1555736782_A01609,,-2.397404440683742 24.84544047075816 -80.902912188474 86.54977195712154 58.948055592261554
20,1555987268_A01609,,0.8180258236888116 -7.456374887605643 17.7153241935252 -8.216311226312758 88.76847615189051
21,1556028453_A01609,,-0.42202058420952215 3.503795451963385 -6.030544098126106 -11.86208629462304 102.55314812186194
22,1556039041_A01609,,0.6894314480172985 -9.283672833438503 39.20302017840162 -47.694372817346206 75.43404292606516
23,1556115527_A01172,-0.9143307067479537 9.68074463610334 -32.23071034956489 33.74283576078873 82.59725022814217,
24,1556125697_A01609,,-1.4456524645541855 15.638506263593193 -54.00409209843292 57.68605239952128 89.14120528239525
25,1556219881_A01609,,0.6996105397144892 -5.318985429468673 7.24511822303865 14.109501471723277 78.67744081375032
26,1556301731_A01609,,0.7941020973971249 -8.098942603701005 27.840834558180838 -34.12076631728515 75.16837431535049
27,1556909851_A01172,-0.20712933842051262 3.75672409215517 -18.45105621005156 27.362540029090827 71.52744391048991,
28,1557323445_A01609,,1.6266934008345502 -17.660696774751766 62.199846018731506 -73.67341654212653 97.76488592635592
29,1557417534_A01172,,0.12664063327121836 -3.6563551895869 24.314217216453077 -60.850990539655854 124.86756825516417
30,1557757425_A01609,,-0.12017557476787384 3.4248875159009717 -25.852890055809553 73.56596534347962 54.48699677481919
31,1557760240_A01609,,-0.21874623134573667 1.7918580662122485 -1.9238493203686235 -6.14610575527185 74.12866894603259
32,1557763139_A01609,,-0.4572899763494113 4.540593527425884 -14.018010922104315 10.331309510553444 83.31175115464927
33,1557928726_A01609,,-0.06413763982329806 -0.8806737627212643 10.425411084830136 -27.866730819768804 86.1043329535176
34,1557952047_A01172,-1.0861931689812994 9.23449772213521 -21.542817810563523 14.933117831922115 78.32414297564327,
35,1557957375_A01609,,-0.7414095391367103 8.38616242850957 -30.665225317387623 36.71959755972153 80.18680693197986
36,1559137815_A01609,,-0.4269398502502402 4.864515390185177 -18.194171789525186 25.016498169622178 78.89572514768425
37,1559309040_A01609,,-0.3838265049472659 3.5748210393883264 -10.672438462105239 10.944943637140769 78.74993379164134
38,1559311950_A01609,,1.5761002404191646 -16.36678120120483 52.057802543012706 -49.64645070636911 65.00142836546954
39,1560885907_A01609,-4.502235493352593 50.351688205094 -180.74796476514783 197.98615448751755 111.01546190620273,
40,1561053811_A01609,-0.04901016400747306 0.5989260484304121 -3.5152393267009785 11.818741660011767 80.90534354389672,
41,1561428256_A01609,,0.07879338012928133 -1.239470453185198 6.912826785258761 -15.759083921259293 85.41013112401869
42,1561948526_A01609,-1.0051027269693733 14.494747922594014 -65.69994999027875 100.02041342406307 58.84341239039878,
43,1562035686_A01609,0.04567478756766746 0.17986266672002652 -5.029584562199363 19.202071507126128 74.34744175050497,
44,1562704125_A01609,,-2.132375708193965 24.95846371030263 -95.82280849013317 117.76621922702398 71.27170511959285
