,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,0.0011176876156172456 -0.008830999387610533 0.017976752988851714 0.0009142403782494635 0.04893309087665554,
1,1547700355_A01172,0.0017449612517695908 -0.016602437745542944 0.04772409166406375 -0.03750558846826367 0.061638086252835234,
2,1547782407_A01172,-0.004896083446572848 0.05568270335626569 -0.2204162322115424 0.33961341623636726 0.12564616728745165,
3,1547880148_A01172,-0.002633667231666205 0.025246165578362866 -0.08046637314080862 0.09503323621216994 0.05684735175884269,
4,1547954828_A01172,-0.00015923501612440458 0.002918219728368858 -0.01800513198880613 0.051523251482538945 0.06972400887666458,
5,1548038666_A01172,,-0.00040521519285234797 0.004813827837940924 -0.020751620868744103 0.040826361537069554 0.06925283019627138
6,1552402053_A01172,0.0058911931256662815 -0.06750743200436847 0.2657582296818598 -0.38062099224762197 0.20083464045608335,
7,1552590157_A01172,-0.016254538923109973 0.17304118159559342 -0.5697533755657763 0.4959417711875055 0.40197460372582666,
8,1552620154_A01609,,-0.0002757650113157153 0.0029734010177552184 -0.010065325355035095 0.013759466468715469 0.11391142811750513
9,1553089387_A01609,,-0.002031810669029543 0.02096491271778582 -0.06887790624506823 0.0823085812377215 0.01743403548546507
10,1553102751_A01609,,-0.000651811798262439 0.006486415671962114 -0.021380965306967037 0.028282043430225567 0.052607631759686455
11,1553885926_A01172,,-0.00016334129048408615 0.0002386858870336515 0.0043883359863947395 -0.009347467239842745 0.05010019392912098
12,1554082410_A01172,,-0.00015923010688200155 0.0012800392603613746 -0.0027026895437672178 0.0013232951804160412 0.12035054065734613
13,1554403777_A01172,0.0017867395133949096 -0.017134816546958115 0.05117179141981761 -0.04975872614286685 0.09333877989554124,
14,1554748372_A01609,,0.0005425852429815642 -0.0061078110972175624 0.024266443757887914 -0.04320156222515638 0.20692315742053963
15,1554840090_A01172,-0.00033820395605914963 0.004746830029734673 -0.021648212718893108 0.03697527461885502 0.030730876569741158,
16,1554906953_A01172,-0.018093760367387857 0.2512311646774425 -1.1467695334725596 1.7813133141991584 -0.15501063555378727,
17,1555002731_A01172,0.0007517390640019698 -0.008772669365128447 0.03627525829430748 -0.061096295540592045 0.2066415056830613,
18,1555696275_A01609,,0.0019769455290854798 -0.01725020363459577 0.03957896111993128 -0.007867084196027599 0.02319935167283104
19,1555736782_A01609,,0.001051847846245343 -0.006942299348200581 0.004773418956588646 0.030327848622721077 0.06501255048419395
20,1555987268_A01609,,-5.148458069134932e-05 0.0003237255304285336 -0.0005703991632023436 0.0047216627980126765 0.037887437527410514
21,1556028453_A01609,,0.0014563672901304907 -0.011384030246210654 0.02423365201375012 0.009605401609458665 0.09351646710098244
22,1556039041_A01609,,-0.0005513505677140813 0.007433751147616706 -0.03171616526344486 0.053514656475921976 0.1518499409425335
23,1556115527_A01172,0.00016785117057610354 -0.0016743668946211333 0.003842022659563305 0.016291031930755418 0.12366386491958024,
24,1556125697_A01609,,-0.0035609064839516908 0.0393251679371303 -0.14459113954736202 0.1983731775192723 0.05711445004745539
25,1556219881_A01609,,0.00016099732708192008 -0.0021480079674429803 0.007815299542327432 -0.00550950445870213 0.06426245864893027
26,1556301731_A01609,,-0.00021743875457884862 0.002726073420638102 -0.011041522123920408 0.025798532222484176 0.0765090146206032
27,1556909851_A01172,0.001653140473551296 -0.012712061035855019 0.025531674360902264 -0.009910250584288348 0.047782222932596305,
28,1557323445_A01609,,-0.00020238294624079866 0.0021775260466563133 -0.008313809352784722 0.017936665380476582 0.06337837482047617
29,1557417534_A01172,,-0.00017231130783216882 0.0019240423010291172 -0.006259310241922584 0.00595516466939311 0.026082829169530215
30,1557757425_A01609,,-4.522381531160592e-05 -6.545532180040833e-05 0.0018512581066206129 0.0028616454754745698 0.06619747991575985
31,1557760240_A01609,,0.002960638198574462 -0.03513888843420621 0.13170348618398303 -0.16694437354014277 0.10485764040660286
32,1557763139_A01609,,-7.007298901211834e-05 0.002594880027918262 -0.007990609328977103 -0.023441607652309866 0.1173192066265787
33,1557928726_A01609,,-5.8877600190382575e-05 0.0003423252962654415 -0.0010031210298561651 0.006073707333890754 0.07364581032729028
34,1557952047_A01172,0.0004734068016119758 -0.004433420645920516 0.011649827762054397 0.0007313804114290637 0.05492103170544491,
35,1557957375_A01609,,0.0010889831690976163 -0.011114082654625757 0.03383102256770644 -0.0237790681247997 0.10116740729045909
36,1559137815_A01609,,-0.04052056946780915 0.40899485729311236 -1.3109995634500575 1.6385035975868825 1.3003734105483562
37,1559309040_A01609,,0.006763651796504324 -0.06824713355993063 0.2560078497615721 -0.4987734551223994 0.6903009756657493
38,1559311950_A01609,,-8.376220931661081e-05 0.00117453799879018 -0.006085920996933104 0.019454022915883815 0.06092883134928726
39,1560885907_A01609,-0.0006848550160347691 0.00731043762931075 -0.023205256955182756 0.025646460433241532 0.09633932070564799,
40,1561053811_A01609,0.00033168441477254715 -0.0034169773848773824 0.009641086456465124 0.0028209605808456975 0.07403797694006925,
41,1561428256_A01609,,1.1280048617667897e-05 0.00014761710063624595 -0.0023282131477560825 0.01099077682118735 0.09333974285724705
42,1561948526_A01609,-0.0007906798287787044 0.007755565651792698 -0.025179649908437695 0.04161048789749453 0.10115611540237819,
43,1562035686_A01609,-0.00019540499490552942 0.0017072487660804913 -0.003925351584761234 0.009931492015096795 0.05330856855021695,
44,1562704125_A01609,,0.024429068028226322 -0.2212638658059678 0.5594100380934511 -0.17754575948471618 0.7987115851776156
