,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,0.0007624400602810781 -0.00841280069637375 0.03351785476607176 -0.061377652719702296 0.05750143648239685 0.039556975833695336,
1,1547700355_A01172,-0.00017448980846684575 0.003926081010274616 -0.02629427299268657 0.06588490950983864 -0.05045596912671043 0.06378387659523456,
2,1547782407_A01172,0.0013500796180059519 -0.021772056641002742 0.1306713192714836 -0.36093188888703165 0.4398143685212629 0.10904354830791665,
3,1547880148_A01172,-0.0010482300333117226 0.010469191079677483 -0.03297656314848618 0.0286329196070618 0.017235122567144913 0.06973797214438883,
4,1547954828_A01172,-1.1394100470829859e-05 -1.6808946168345034e-05 0.002285347553638576 -0.01681923932845339 0.05067759786153757 0.06986412795276116,
5,1548038666_A01172,,-1.0431138202951113e-05 -0.0002748261355311137 0.004234442292209139 -0.019665952871899983 0.04005217757975979 0.06938110723326733
6,1552402053_A01172,-0.004759312172760662 0.06538251762255881 -0.33185793976990097 0.7611052198592636 -0.7338502430054844 0.259362334345512,
7,1552590157_A01172,0.001116506178924935 -0.030210847940486344 0.23505623011697682 -0.6859588176904422 0.5788072413925098 0.3882443566872326,
8,1552620154_A01609,,0.00030893938377679717 -0.004137502267242446 0.020133082922545 -0.04221959226296324 0.03668849971970606 0.11011224264117439
9,1553089387_A01609,,-0.00068419204608501 0.006520578742364324 -0.017037745697200696 0.0023324826576078075 0.03152883932537111 0.025847894711600566
10,1553102751_A01609,,0.0002791968041277864 -0.004141767293916956 0.021994080279489434 -0.05043963840334202 0.04900362553204515 0.049174205984335514
11,1553885926_A01172,,0.0011572295642380292 -0.014628691959748594 0.06451566789684407 -0.11605557707953695 0.07654043359384863 0.03586915061089513
12,1554082410_A01172,,9.772436325378072e-05 -0.0013807830528848077 0.006708026353759946 -0.01287379567162656 0.008576255767974533 0.11914877422336614
13,1554403777_A01172,-0.0015515307670846174 0.021180848784021523 -0.1033128042906696 0.21265438969140907 -0.16491109070549184 0.11241874660074733,
14,1554748372_A01609,,-0.0008485137015458386 0.011148992666229512 -0.05323752642319196 0.11257935388607958 -0.10617701921875905 0.217357764015436
15,1554840090_A01172,-0.0003771654892301817 0.004376358504719015 -0.016202392246601156 0.017606995409340968 0.008982598716021648 0.03536907332969746,
16,1554906953_A01172,0.0029037895833607264 -0.054391082775261126 0.4125188093919555 -1.4489945983587582 1.9968283679835108 -0.19072001995327414,
17,1555002731_A01172,-0.00013668393750114049 0.002460286052353152 -0.016364621094754197 0.05050125873073501 -0.07124077925622083 0.20832237791066063,
18,1555696275_A01609,,-0.001448853984756243 0.02008759669609059 -0.0977251278769079 0.19037500779724928 -0.11539892680599365 0.04101664951591437
19,1555736782_A01609,,-0.001176119897124965 0.01575332736834347 -0.07226852312010906 0.12718342905489205 -0.05696206533597842 0.079475897879258
20,1555987268_A01609,,0.0010484714679489665 -0.013157360821060844 0.05855986446586051 -0.10969482031546081 0.08253769537185139 0.024993848096751786
21,1556028453_A01609,,0.0005992169144675431 -0.006033834362672091 0.021898782448403604 -0.03813256484079912 0.05407841242606816 0.08614759049228986
22,1556039041_A01609,,0.000320473820226669 -0.004557268091044886 0.025234100027303436 -0.06507093093494166 0.07729975888085899 0.1479089106068577
23,1556115527_A01172,-3.4810104924814694e-05 0.0006029769141038285 -0.003607854041128 0.007465042137242477 0.013707476401078156 0.12409194256848072,
24,1556125697_A01609,,0.002429078029133604 -0.033924342210344974 0.17424550665302888 -0.397408447376836 0.37865582785140134 0.02724283621713232
25,1556219881_A01609,,-3.833750379662831e-05 0.0006402154989471063 -0.004277420417650762 0.011805449048649908 -0.008354858419620319 0.06473391452432682
26,1556301731_A01609,,0.0001327677069341827 -0.0018770329247482355 0.010100502638328663 -0.02485992311030813 0.03565235898207618 0.07487630228155573
27,1556909851_A01172,-0.001423408488406909 0.01944572335141019 -0.09177364451880468 0.17367936565141603 -0.11555356533888898 0.06528660450393019,
28,1557323445_A01609,,-2.2436004974847055e-05 7.806674983332285e-05 0.0009313440161358791 -0.005978680423964944 0.016271497612616266 0.0636542818388864
29,1557417534_A01172,,0.00013130306163938006 -0.001813597435716652 0.009217119484366166 -0.019925271629451784 0.015700287578233284 0.024468128322135147
30,1557757425_A01609,,0.0003461120589478779 -0.004371618904291883 0.019158939970087534 -0.034171923487808446 0.02854958079523386 0.061941163056891214
31,1557760240_A01609,,0.0011828966236689627 -0.011825550294740783 0.030563740800900425 0.008588157549099864 -0.07915150076033103 0.09031095614218954
32,1557763139_A01609,,-0.0014699260932782494 0.0183039791906627 -0.07905047018883705 0.14499861257076194 -0.13253739161239625 0.13539563895641343
33,1557928726_A01609,,0.00018144514301289295 -0.0023269389270236074 0.01042048658216933 -0.019887846849723938 0.019540302840467986 0.07141448668166737
34,1557952047_A01172,2.6221655497886905e-05 0.00014563653577424361 -0.0029769690214626865 0.008920690093236096 0.0026775136737437707 0.05459857060801198,
35,1557957375_A01609,,0.00026467208646851223 -0.002219413592830788 0.003586823255635038 0.006284075307867314 -0.004135489513825619 0.09791259939057752
36,1559137815_A01609,,-0.010298972553187785 0.08821641938805846 -0.16304969979237968 -0.23908730576303627 0.8741287832262475 1.4270251390099693
37,1559309040_A01609,,-0.0006427507916586505 0.014798026203808486 -0.10394798527420399 0.3229050522406411 -0.5464774872010373 0.6982052106089192
