,recordName,A01172_measurement,A01609_measurement
29,1557417534_A01172,,-0.0076683636659165885 0.13817123529074504 -0.8329903382253036 1.9570477598802376 -1.2529260004946452 63.6991234506884
30,1557757425_A01609,,-0.0031264107629686566 0.03981650501544039 -0.18789322638975206 0.3818780873453479 -0.23205634362108551 63.04575046535584
31,1557760240_A01609,,0.012153409553276002 -0.1348740785159233 0.5066533619234183 -0.74695008773712 0.3979357628050707 63.15890166693925
32,1557763139_A01609,,0.006262093100352066 -0.0915952583627496 0.49730328949107494 -1.2798239142910388 1.5803975312298382 62.72972789208592
33,1557928726_A01609,,0.013079550388636868 -0.19034467405888006 0.9679732476515399 -1.9067048183527364 0.7124520268121138 64.32565749315688
34,1557952047_A01172,-0.005962590218784067 0.10758402920648809 -0.6897590221306986 1.8808314190119315 -1.9916655794239337 63.152943505781884,
35,1557957375_A01609,,0.04709905432226786 -0.5886571759501966 2.542793621829902 -4.047704878913717 0.4680508707661561 66.8117501183046
36,1559137815_A01609,,0.020604542474045875 -0.23841412477107107 0.9629826112501191 -1.5757587514563796 0.9043917605088889 62.98060781246271
37,1559309040_A01609,,-0.040651012777067175 0.4929631957472182 -2.119921831865996 3.7762678351928938 -2.188788857162313 64.01012300482472
38,1559311950_A01609,,-0.010322486386950151 0.14185783003530955 -0.684398730122636 1.3326329918955029 -0.8921379555729378 64.37994620590723
39,1560885907_A01609,0.10780708949010231 -1.2896622300628975 5.318987686531241 -8.809876839051974 4.80885330133507 63.46227545159869,
40,1561053811_A01609,-0.024115748856008364 0.27991273765652197 -1.1681616374998558 2.308147027643381 -2.4526425932662828 63.00484120895286,
41,1561428256_A01609,,0.0034889355258077813 -0.038567556908124086 0.13901523143775601 -0.1574170906036265 -0.05287308630130077 63.055915978167484
42,1561948526_A01609,7.292982688530496e-05 0.004912982330764176 0.012846230485440759 -0.3227359990502128 0.6422678594706772 62.36352703528756,
43,1562035686_A01609,-0.0445303490140398 0.5812618445841752 -2.6476495403989015 4.899135113209329 -3.345825349994478 63.855572165671674,
44,1562704125_A01609,,-0.02245800614865429 0.3041532737952506 -1.4889593034964668 3.108298555667021 -2.3387809092155964 64.42153757250871
