,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,-0.03612207925636211 35.28091195398602,
1,1547700355_A01172,0.012453240868364978 35.70952540732176,
2,1547782407_A01172,0.06775931911561689 31.497073301539174,
3,1547880148_A01172,0.04367956086445346 33.64381107440532,
4,1547954828_A01172,0.00196090526117966 35.99028177431624,
5,1548038666_A01172,,0.008587364708934736 30.04447714798748
6,1552402053_A01172,0.017527097324845756 34.01967152948195,
7,1552590157_A01172,,
8,1552620154_A01609,,-0.03140474352793403 34.85046203656059
9,1553089387_A01609,,-0.0022757917977232213 33.38149170150548
10,1553102751_A01609,,0.025034358232057907 32.80942922203097
11,1553885926_A01172,,-0.02795657138199012 34.340631241710774
12,1554082410_A01172,,0.00014836052319890306 35.448635860342165
13,1554403777_A01172,-0.010264055520309217 35.34505567421713,
14,1554748372_A01609,,0.08964710351227224 32.46099870431513
15,1554840090_A01172,-0.008434062038957923 35.55183074254141,
16,1554906953_A01172,-0.01542234098046047 33.77225254992952,
17,1555002731_A01172,,
18,1555696275_A01609,,0.06742034322410811 33.28376732567371
19,1555736782_A01609,,0.020534246574477694 34.81291131649838
20,1555987268_A01609,,-0.02310648080307198 31.17799504668187
21,1556028453_A01609,,0.012357361917293929 34.899652764889055
22,1556039041_A01609,,-0.033420947837915015 36.23898675011445
23,1556115527_A01172,0.007654081558878826 35.12063206928049,
24,1556125697_A01609,,-0.03778255736134366 34.44880142520192
25,1556219881_A01609,,-0.02334471676376682 36.116953101367926
26,1556301731_A01609,,0.0016669833867769953 33.61736404752462
27,1556909851_A01172,,
28,1557323445_A01609,,-0.0796782507828737 37.2281022970064
29,1557417534_A01172,,-0.039422351196061425 33.06101785911137
30,1557757425_A01609,,0.003997455360822118 34.49417000765545
31,1557760240_A01609,,-0.03624874895067155 34.23275194349403
32,1557763139_A01609,,0.025257108177751855 30.034750839717766
33,1557928726_A01609,,0.005183492946969036 33.82428879691593
34,1557952047_A01172,,
35,1557957375_A01609,,0.00013018235566421778 35.242822045310454
36,1559137815_A01609,,0.011595069963476527 34.77975196537239
37,1559309040_A01609,,-0.003694824057880114 31.74469526349178
38,1559311950_A01609,,0.012017860316293785 34.3012106317718
39,1560885907_A01609,0.018518245252253956 32.2703186821871,
40,1561053811_A01609,0.026520791086517868 35.17387634586573,
41,1561428256_A01609,,0.015633353519961785 32.95951058542965
42,1561948526_A01609,0.03197172833482784 31.3414955243692,
43,1562035686_A01609,0.025704623255451524 32.53432092435118,
44,1562704125_A01609,,0.01841753835468205 33.647243542292664
