,recordName,A01172_measurement,A01609_measurement
0,1547274726_A01172,0.00047076256559569355 -0.03180595032364008 0.6598040941662012 30.369590019466788,
1,1547700355_A01172,-0.0010004346307774443 0.07123205020170113 -1.6374475603494463 48.12651042444635,
2,1547782407_A01172,-0.00046426095868383233 0.04088899659820873 -1.0893059849197888 42.09124927844234,
3,1547880148_A01172,-0.0005249885798342237 0.043112743593691306 -1.1076585979543294 43.681140469400326,
4,1547954828_A01172,-0.0004329944289108972 0.03414359905943089 -0.875922460825742 43.35270344691493,
5,1548038666_A01172,,-0.00014732985849153415 0.013605167391107545 -0.40150142344987216 34.06743648529022
6,1552402053_A01172,-2.048751208494731e-05 0.0029739354665959104 -0.11782938216972509 35.913784729940666,
7,1552590157_A01172,,
8,1552620154_A01609,,0.0001515286179396548 -0.01443602799585177 0.4039927929677632 30.699597674006107
9,1553089387_A01609,,1.9058323984765288e-05 -0.002741017909187888 0.12158821579546782 31.657254760273673
10,1553102751_A01609,,7.9852767259815e-05 -0.008591713535139826 0.3144809819266071 29.72588829479723
11,1553885926_A01172,,0.0027373282511685233 -0.20080383411170694 4.839590041826235 -4.652309554815172
12,1554082410_A01172,,-0.00016675987822642907 0.011268798236311783 -0.21053314421770725 36.27074667977532
13,1554403777_A01172,4.011607127730448e-05 -0.006332306893674461 0.291531971987254 31.096079837343556,
14,1554748372_A01609,,-0.010055990263075748 0.6652681720901231 -14.545830505017967 139.53169470386334
15,1554840090_A01172,4.791181175147089e-05 -0.004319510659887812 0.10808971135859982 34.64232550006261,
16,1554906953_A01172,-0.003887730731113594 0.2656969453967209 -5.982588242007731 77.79788329816725,
17,1555002731_A01172,,
18,1555696275_A01609,,-0.0004913555875385885 0.03546508910235957 -0.7054006601692634 38.10485537697918
19,1555736782_A01609,,0.00021187083771226714 -0.01952921933060928 0.6083385193115028 29.05284776556149
20,1555987268_A01609,,0.000434974551067684 -0.03970622880649584 1.1609452790258055 19.67424431107416
21,1556028453_A01609,,-0.00021263265252158985 0.016744505392409872 -0.4225958394568492 38.62436177238873
22,1556039041_A01609,,0.00011006194392809892 -0.017445200214467337 0.6865523947716722 27.53125907647719
23,1556115527_A01172,-0.000365490353655591 0.0336185309449217 -1.0021020758420387 44.99584172462816,
24,1556125697_A01609,,-0.0007107623316377639 0.06400698013624412 -1.9233666525583477 52.573934207292936
25,1556219881_A01609,,0.005246656421063736 -0.37788350185269165 9.00553707531675 -35.43434083721032
26,1556301731_A01609,,-5.303542243036049e-05 0.003935558935073822 -0.0919020706661735 34.32726003403693
27,1556909851_A01172,,
28,1557323445_A01609,,0.292570072901233 -18.073210190691864 372.0135539405544 -2515.9384699993866
29,1557417534_A01172,,-0.010108260006854353 0.6585324860145334 -14.277794883269223 135.23596013830124
30,1557757425_A01609,,3.843649617322459e-05 -0.004962548714998927 0.20316855746159077 32.01424062922324
31,1557760240_A01609,,0.00056850139579781 -0.05487584048862488 1.6741353468121705 17.056114955194786
32,1557763139_A01609,,-0.002966270405013525 0.23826782014527356 -6.281667590984666 85.00428743633701
33,1557928726_A01609,,-8.531248359851883e-05 0.011406468667264837 -0.4773182720431601 40.17835824139023
34,1557952047_A01172,,
35,1557957375_A01609,,4.0728472808934454e-05 -0.004976027020939874 0.189350756250215 32.99730850637365
36,1559137815_A01609,,6.749589556769492e-05 -0.006687755016936551 0.226088344519526 32.561210204834126
37,1559309040_A01609,,0.00018850317274412504 -0.015145964787884427 0.391296996281876 28.400396631682405
38,1559311950_A01609,,-0.002094548537266317 0.13843133755071207 -3.018311826801345 56.27335424736674
39,1560885907_A01609,-0.0004575117542478104 0.03711087840921723 -0.9680828223993129 40.86605454587286,
40,1561053811_A01609,-0.0019772792285500354 0.14474421604335763 -3.4858729517899545 63.4193731852271,
41,1561428256_A01609,,-3.0114507672858515e-05 0.0033517776399959653 -0.10297714323539046 34.29100452723602
42,1561948526_A01609,3.569615429740609e-05 -0.003429816396798721 0.10936084189183365 31.253422401363135,
43,1562035686_A01609,-2.1535543088427934e-05 0.0024589799528080335 -0.056614183227456163 33.31577120628072,
44,1562704125_A01609,,-4.4693075705615734e-05 0.005347301583989498 -0.17327117157810115 35.77191118981776
